id,indicator_id,census_tract_id,sub_group_indicator_name,year,value
1,2,10100,median_hawai,2022,-666666666
2,2,10201,median_hawai,2022,-666666666
3,2,10202,median_hawai,2022,-666666666
4,2,10300,median_hawai,2022,-666666666
5,2,10400,median_hawai,2022,-666666666
6,2,10501,median_hawai,2022,-666666666
7,2,10502,median_hawai,2022,-666666666
8,2,10503,median_hawai,2022,-666666666
9,2,10600,median_hawai,2022,-666666666
10,2,10701,median_hawai,2022,-666666666
11,2,10702,median_hawai,2022,-666666666
12,2,20100,median_hawai,2022,-666666666
13,2,20200,median_hawai,2022,-666666666
14,2,20301,median_hawai,2022,-666666666
15,2,20302,median_hawai,2022,-666666666
16,2,20400,median_hawai,2022,-666666666
17,2,20500,median_hawai,2022,-666666666
18,2,20601,median_hawai,2022,-666666666
19,2,20602,median_hawai,2022,-666666666
20,2,20701,median_hawai,2022,-666666666
21,2,20702,median_hawai,2022,-666666666
22,2,20801,median_hawai,2022,-666666666
23,2,20802,median_hawai,2022,-666666666
24,2,20901,median_hawai,2022,-666666666
25,2,20902,median_hawai,2022,-666666666
26,2,30101,median_hawai,2022,-666666666
27,2,30102,median_hawai,2022,-666666666
28,2,30103,median_hawai,2022,-666666666
29,2,30104,median_hawai,2022,-666666666
30,2,30200,median_hawai,2022,-666666666
31,2,30300,median_hawai,2022,-666666666
32,2,30400,median_hawai,2022,-666666666
33,2,30500,median_hawai,2022,-666666666
34,2,30601,median_hawai,2022,-666666666
35,2,30603,median_hawai,2022,-666666666
36,2,30604,median_hawai,2022,-666666666
37,2,30701,median_hawai,2022,-666666666
38,2,30702,median_hawai,2022,-666666666
39,2,30703,median_hawai,2022,-666666666
40,2,30706,median_hawai,2022,-666666666
41,2,30800,median_hawai,2022,-666666666
42,2,30900,median_hawai,2022,-666666666
43,2,31000,median_hawai,2022,-666666666
44,2,31100,median_hawai,2022,-666666666
45,2,31200,median_hawai,2022,-666666666
46,2,31300,median_hawai,2022,-666666666
47,2,31400,median_hawai,2022,-666666666
48,2,31501,median_hawai,2022,-666666666
49,2,31502,median_hawai,2022,-666666666
50,2,31700,median_hawai,2022,-666666666
51,2,31800,median_hawai,2022,-666666666
52,2,31900,median_hawai,2022,-666666666
53,2,32100,median_hawai,2022,-666666666
54,2,40100,median_hawai,2022,-666666666
55,2,40201,median_hawai,2022,-666666666
56,2,40202,median_hawai,2022,-666666666
57,2,40300,median_hawai,2022,-666666666
58,2,40401,median_hawai,2022,-666666666
59,2,40402,median_hawai,2022,-666666666
60,2,40600,median_hawai,2022,-666666666
61,2,40700,median_hawai,2022,-666666666
62,2,40800,median_hawai,2022,-666666666
63,2,40900,median_hawai,2022,-666666666
64,2,50100,median_hawai,2022,-666666666
65,2,50200,median_hawai,2022,-666666666
66,2,50300,median_hawai,2022,-666666666
67,2,50500,median_hawai,2022,-666666666
68,2,50600,median_hawai,2022,-666666666
69,2,50700,median_hawai,2022,-666666666
70,2,50800,median_hawai,2022,-666666666
71,2,50900,median_hawai,2022,-666666666
72,2,51000,median_hawai,2022,-666666666
73,2,51100,median_hawai,2022,-666666666
74,2,51200,median_hawai,2022,-666666666
75,2,51300,median_hawai,2022,-666666666
76,2,51400,median_hawai,2022,-666666666
77,2,60100,median_hawai,2022,-666666666
78,2,60200,median_hawai,2022,-666666666
79,2,60300,median_hawai,2022,-666666666
80,2,60400,median_hawai,2022,-666666666
81,2,60500,median_hawai,2022,-666666666
82,2,60800,median_hawai,2022,-666666666
83,2,60900,median_hawai,2022,-666666666
84,2,61000,median_hawai,2022,-666666666
85,2,61100,median_hawai,2022,-666666666
86,2,61200,median_hawai,2022,-666666666
87,2,61500,median_hawai,2022,-666666666
88,2,61800,median_hawai,2022,-666666666
89,2,61901,median_hawai,2022,-666666666
90,2,61902,median_hawai,2022,-666666666
91,2,62000,median_hawai,2022,-666666666
92,2,62100,median_hawai,2022,-666666666
93,2,62200,median_hawai,2022,-666666666
94,2,62300,median_hawai,2022,-666666666
95,2,62400,median_hawai,2022,-666666666
96,2,62500,median_hawai,2022,-666666666
97,2,62600,median_hawai,2022,-666666666
98,2,62700,median_hawai,2022,-666666666
99,2,62800,median_hawai,2022,-666666666
100,2,62900,median_hawai,2022,-666666666
101,2,63000,median_hawai,2022,-666666666
102,2,63100,median_hawai,2022,-666666666
103,2,63200,median_hawai,2022,-666666666
104,2,63301,median_hawai,2022,-666666666
105,2,63302,median_hawai,2022,-666666666
106,2,63303,median_hawai,2022,-666666666
107,2,63400,median_hawai,2022,-666666666
108,2,70101,median_hawai,2022,-666666666
109,2,70102,median_hawai,2022,-666666666
110,2,70103,median_hawai,2022,-666666666
111,2,70200,median_hawai,2022,-666666666
112,2,70300,median_hawai,2022,-666666666
113,2,70400,median_hawai,2022,-666666666
114,2,70500,median_hawai,2022,-666666666
115,2,70600,median_hawai,2022,-666666666
116,2,70700,median_hawai,2022,-666666666
117,2,71000,median_hawai,2022,-666666666
118,2,71100,median_hawai,2022,-666666666
119,2,71200,median_hawai,2022,-666666666
120,2,71300,median_hawai,2022,-666666666
121,2,71400,median_hawai,2022,-666666666
122,2,71500,median_hawai,2022,-666666666
123,2,71600,median_hawai,2022,-666666666
124,2,71700,median_hawai,2022,-666666666
125,2,71800,median_hawai,2022,-666666666
126,2,80100,median_hawai,2022,-666666666
127,2,80201,median_hawai,2022,-666666666
128,2,80202,median_hawai,2022,-666666666
129,2,80300,median_hawai,2022,-666666666
130,2,80400,median_hawai,2022,-666666666
131,2,81000,median_hawai,2022,-666666666
132,2,81100,median_hawai,2022,-666666666
133,2,81201,median_hawai,2022,-666666666
134,2,81202,median_hawai,2022,-666666666
135,2,81300,median_hawai,2022,-666666666
136,2,81401,median_hawai,2022,-666666666
137,2,81402,median_hawai,2022,-666666666
138,2,81403,median_hawai,2022,-666666666
139,2,81500,median_hawai,2022,-666666666
140,2,81600,median_hawai,2022,-666666666
141,2,81700,median_hawai,2022,-666666666
142,2,81800,median_hawai,2022,-666666666
143,2,81900,median_hawai,2022,-666666666
144,2,90100,median_hawai,2022,-666666666
145,2,90200,median_hawai,2022,-666666666
146,2,90300,median_hawai,2022,-666666666
147,2,100100,median_hawai,2022,-666666666
148,2,100200,median_hawai,2022,-666666666
149,2,100300,median_hawai,2022,-666666666
150,2,100400,median_hawai,2022,-666666666
151,2,100500,median_hawai,2022,-666666666
152,2,100600,median_hawai,2022,-666666666
153,2,100700,median_hawai,2022,-666666666
154,2,110100,median_hawai,2022,-666666666
155,2,110200,median_hawai,2022,-666666666
156,2,110300,median_hawai,2022,-666666666
157,2,110400,median_hawai,2022,-666666666
158,2,110501,median_hawai,2022,-666666666
159,2,110502,median_hawai,2022,-666666666
