indicator_id,census_tract_id,indicator_name,year,value
3,827300,population,2020,2794
3,827400,population,2020,3614
3,827500,population,2020,5163
3,827600,population,2020,3136
3,827700,population,2020,2815
3,827801,population,2020,4987
3,827802,population,2020,3237
3,827804,population,2020,3194
3,827805,population,2020,2755
3,827901,population,2020,1814
3,827902,population,2020,4186
3,828000,population,2020,4761
3,828100,population,2020,5410
3,828201,population,2020,3598
3,828202,population,2020,4952
3,828300,population,2020,3227
3,828401,population,2020,3581
3,828402,population,2020,3606
3,828503,population,2020,4634
3,828504,population,2020,5761
3,828505,population,2020,7159
3,828507,population,2020,3856
3,828508,population,2020,4065
3,828601,population,2020,4140
3,828602,population,2020,4198
3,828701,population,2020,4571
3,828702,population,2020,4058
3,828801,population,2020,5273
3,828802,population,2020,3221
3,828900,population,2020,3612
3,829000,population,2020,1305
3,829100,population,2020,3693
3,829200,population,2020,5733
3,431400,population,2020,6545
3,440101,population,2020,4154
3,440102,population,2020,3359
3,440201,population,2020,5899
3,440202,population,2020,2674
3,440300,population,2020,4572
3,440600,population,2020,1759
3,440700,population,2020,1392
3,440800,population,2020,1927
3,440900,population,2020,2510
3,450300,population,2020,3335
3,460100,population,2020,2749
3,460200,population,2020,2242
3,460301,population,2020,3486
3,460302,population,2020,3593
3,460400,population,2020,3492
3,460500,population,2020,6093
3,460800,population,2020,4230
3,461000,population,2020,1340
3,470100,population,2020,2180
3,480100,population,2020,2064
3,480200,population,2020,930
3,480300,population,2020,1133
3,480400,population,2020,5309
3,480500,population,2020,2907
3,490200,population,2020,3114
3,490500,population,2020,2025
3,490600,population,2020,1482
3,490700,population,2020,2785
3,490800,population,2020,3947
3,490901,population,2020,2928
3,490902,population,2020,4565
3,491000,population,2020,3562
3,491100,population,2020,3912
3,491200,population,2020,1962
3,491300,population,2020,2418
3,491400,population,2020,3455
3,500100,population,2020,3282
3,500200,population,2020,2140
3,500300,population,2020,1709
3,510100,population,2020,3597
3,510200,population,2020,3709
3,510300,population,2020,4805
3,520100,population,2020,2219
3,520200,population,2020,3039
3,520300,population,2020,5528
3,520400,population,2020,4278
3,829301,population,2020,4250
3,829302,population,2020,3663
3,829401,population,2020,927
3,829402,population,2020,3231
3,829500,population,2020,3936
3,829600,population,2020,2856
3,829700,population,2020,4131
3,829800,population,2020,5399
3,829902,population,2020,6890
3,829903,population,2020,4336
3,829904,population,2020,4786
3,830001,population,2020,2366
3,830003,population,2020,8436
3,830004,population,2020,6511
3,830005,population,2020,4049
3,830006,population,2020,2901
3,830007,population,2020,4811
3,830008,population,2020,4591
3,830100,population,2020,3433
3,830201,population,2020,4890
3,830202,population,2020,3491
3,830300,population,2020,4526
3,830400,population,2020,3992
3,830500,population,2020,3910
3,830600,population,2020,4913
3,830700,population,2020,4148
3,830800,population,2020,2638
3,830900,population,2020,2754
3,831000,population,2020,2116
3,831100,population,2020,7780
3,831200,population,2020,4810
3,831300,population,2020,908
3,831400,population,2020,2556
3,831500,population,2020,3838
3,831600,population,2020,8022
3,831700,population,2020,2238
3,831800,population,2020,6252
3,831900,population,2020,3384
3,832000,population,2020,1698
3,832100,population,2020,3590
3,832200,population,2020,3031
3,832300,population,2020,1945
3,832400,population,2020,3206
3,832500,population,2020,3118
3,832600,population,2020,4022
3,832900,population,2020,1926
3,520500,population,2020,5208
3,520600,population,2020,2727
3,530100,population,2020,2089
3,530200,population,2020,4185
3,530300,population,2020,3794
3,530400,population,2020,2174
3,530501,population,2020,5073
3,530502,population,2020,1609
3,530503,population,2020,5192
3,530600,population,2020,2368
3,540101,population,2020,4219
3,540102,population,2020,3195
3,550100,population,2020,6573
3,550200,population,2020,2591
3,560100,population,2020,1060
3,560200,population,2020,1560
3,560300,population,2020,3102
3,560400,population,2020,1640
3,560700,population,2020,3656
3,560800,population,2020,5873
3,560900,population,2020,5299
3,561000,population,2020,5999
3,561100,population,2020,5684
3,570100,population,2020,1309
3,570200,population,2020,2252
3,570300,population,2020,5790
3,570400,population,2020,1685
3,570500,population,2020,2497
3,580100,population,2020,2663
3,580200,population,2020,3377
3,580300,population,2020,2524
3,580400,population,2020,4739
3,580501,population,2020,4580
3,580502,population,2020,5064
3,580600,population,2020,4691
3,580700,population,2020,5950
3,580800,population,2020,2206
3,590500,population,2020,1861
3,590600,population,2020,3550
3,590700,population,2020,3064
3,600400,population,2020,3736
3,600600,population,2020,2998
3,600700,population,2020,2786
3,600900,population,2020,3496
3,610300,population,2020,5803
3,610400,population,2020,1812
3,610800,population,2020,1533
3,833000,population,2020,4686
3,833100,population,2020,7379
3,833300,population,2020,2840
3,833900,population,2020,2696
3,834000,population,2020,3187
3,834200,population,2020,4674
3,834300,population,2020,6294
3,834400,population,2020,4570
3,834500,population,2020,1079
3,834600,population,2020,1683
3,834700,population,2020,1130
3,834800,population,2020,1692
3,834900,population,2020,1348
3,835000,population,2020,5496
3,835100,population,2020,4903
3,835200,population,2020,1922
3,835500,population,2020,1356
3,835600,population,2020,793
3,835800,population,2020,1798
3,836000,population,2020,2950
3,836100,population,2020,1834
3,836200,population,2020,1417
3,836300,population,2020,1478
3,836400,population,2020,3726
