indicator_id,census_tract_id,sub_group_indicator_name,year,value
5,10100,pop_other,2022,278
5,10201,pop_other,2022,838
5,10202,pop_other,2022,353
5,10300,pop_other,2022,704
5,10400,pop_other,2022,71
5,10501,pop_other,2022,123
5,10502,pop_other,2022,247
5,10503,pop_other,2022,0
5,10600,pop_other,2022,554
5,10701,pop_other,2022,740
5,10702,pop_other,2022,860
5,20100,pop_other,2022,722
5,20200,pop_other,2022,1009
5,20301,pop_other,2022,74
5,20302,pop_other,2022,289
5,20400,pop_other,2022,352
5,20500,pop_other,2022,446
5,20601,pop_other,2022,801
5,20602,pop_other,2022,889
5,20701,pop_other,2022,125
5,20702,pop_other,2022,375
5,20801,pop_other,2022,675
5,20802,pop_other,2022,842
5,20901,pop_other,2022,149
5,20902,pop_other,2022,212
5,30101,pop_other,2022,173
5,30102,pop_other,2022,47
5,30103,pop_other,2022,202
5,30104,pop_other,2022,211
5,30200,pop_other,2022,87
5,30300,pop_other,2022,491
5,30400,pop_other,2022,157
5,30500,pop_other,2022,236
5,30601,pop_other,2022,63
5,30603,pop_other,2022,34
5,30604,pop_other,2022,98
5,30701,pop_other,2022,33
5,30702,pop_other,2022,53
5,30703,pop_other,2022,75
5,30706,pop_other,2022,34
5,30800,pop_other,2022,50
5,30900,pop_other,2022,32
5,31000,pop_other,2022,252
5,31100,pop_other,2022,123
5,31200,pop_other,2022,480
5,31300,pop_other,2022,98
5,31400,pop_other,2022,27
5,31501,pop_other,2022,285
5,31502,pop_other,2022,254
5,31700,pop_other,2022,160
5,31800,pop_other,2022,149
5,31900,pop_other,2022,57
5,32100,pop_other,2022,361
5,40100,pop_other,2022,174
5,40201,pop_other,2022,399
5,40202,pop_other,2022,902
5,40300,pop_other,2022,212
5,40401,pop_other,2022,168
5,40402,pop_other,2022,298
5,40600,pop_other,2022,230
5,40700,pop_other,2022,190
5,40800,pop_other,2022,88
5,40900,pop_other,2022,6
5,50100,pop_other,2022,58
5,50200,pop_other,2022,97
5,50300,pop_other,2022,100
5,50500,pop_other,2022,154
5,50600,pop_other,2022,64
5,50700,pop_other,2022,13
5,50800,pop_other,2022,59
5,50900,pop_other,2022,98
5,51000,pop_other,2022,44
5,51100,pop_other,2022,87
5,51200,pop_other,2022,23
5,51300,pop_other,2022,129
5,51400,pop_other,2022,106
5,60100,pop_other,2022,123
5,60200,pop_other,2022,289
5,60300,pop_other,2022,58
5,60400,pop_other,2022,101
5,60500,pop_other,2022,22
5,60800,pop_other,2022,175
5,60900,pop_other,2022,129
5,61000,pop_other,2022,76
5,61100,pop_other,2022,23
5,61200,pop_other,2022,59
5,61500,pop_other,2022,38
5,61800,pop_other,2022,23
5,61901,pop_other,2022,73
5,61902,pop_other,2022,39
5,62000,pop_other,2022,99
5,62100,pop_other,2022,81
5,62200,pop_other,2022,66
5,62300,pop_other,2022,10
5,62400,pop_other,2022,48
5,62500,pop_other,2022,0
5,62600,pop_other,2022,61
5,62700,pop_other,2022,94
5,62800,pop_other,2022,50
5,62900,pop_other,2022,427
5,63000,pop_other,2022,59
5,63100,pop_other,2022,26
5,63200,pop_other,2022,39
5,63301,pop_other,2022,75
5,63302,pop_other,2022,37
5,63303,pop_other,2022,0
5,63400,pop_other,2022,25
5,70101,pop_other,2022,193
5,70102,pop_other,2022,47
5,70103,pop_other,2022,29
5,70200,pop_other,2022,171
5,70300,pop_other,2022,56
5,70400,pop_other,2022,37
5,70500,pop_other,2022,8
5,70600,pop_other,2022,91
5,70700,pop_other,2022,50
5,71000,pop_other,2022,34
5,71100,pop_other,2022,30
5,71200,pop_other,2022,81
5,71300,pop_other,2022,134
5,71400,pop_other,2022,103
5,71500,pop_other,2022,191
5,71600,pop_other,2022,34
5,71700,pop_other,2022,1
5,71800,pop_other,2022,10
5,80100,pop_other,2022,50
5,80201,pop_other,2022,2
5,80202,pop_other,2022,0
5,80300,pop_other,2022,88
5,80400,pop_other,2022,32
5,81000,pop_other,2022,130
5,81100,pop_other,2022,78
5,81201,pop_other,2022,30
5,81202,pop_other,2022,68
5,81300,pop_other,2022,231
5,81401,pop_other,2022,20
5,81402,pop_other,2022,101
5,81403,pop_other,2022,310
5,81500,pop_other,2022,78
5,81600,pop_other,2022,27
5,81700,pop_other,2022,203
5,81800,pop_other,2022,612
5,81900,pop_other,2022,29
5,90100,pop_other,2022,62
5,90200,pop_other,2022,279
5,90300,pop_other,2022,176
5,100100,pop_other,2022,403
5,100200,pop_other,2022,370
5,100300,pop_other,2022,313
5,100400,pop_other,2022,202
5,100500,pop_other,2022,155
5,100600,pop_other,2022,139
5,100700,pop_other,2022,168
5,110100,pop_other,2022,197
5,110200,pop_other,2022,190
5,110300,pop_other,2022,679
5,110400,pop_other,2022,463
5,110501,pop_other,2022,223
5,110502,pop_other,2022,319
5,120100,pop_other,2022,80
5,120200,pop_other,2022,57
5,120300,pop_other,2022,72
5,120400,pop_other,2022,518
5,130100,pop_other,2022,154
5,130200,pop_other,2022,197
5,130300,pop_other,2022,267
5,140100,pop_other,2022,598
5,140200,pop_other,2022,1606
5,140301,pop_other,2022,487
5,140302,pop_other,2022,519
5,140400,pop_other,2022,589
5,140500,pop_other,2022,710
5,140601,pop_other,2022,297
5,140602,pop_other,2022,800
5,140701,pop_other,2022,291
5,140702,pop_other,2022,1214
5,140800,pop_other,2022,771
5,150200,pop_other,2022,1361
5,150300,pop_other,2022,408
5,150401,pop_other,2022,535
5,150402,pop_other,2022,524
5,150501,pop_other,2022,434
5,150502,pop_other,2022,667
5,150600,pop_other,2022,947
5,150700,pop_other,2022,423
5,150800,pop_other,2022,1222
5,151001,pop_other,2022,1043
5,151002,pop_other,2022,1798
5,151100,pop_other,2022,1604
5,151200,pop_other,2022,622
5,160100,pop_other,2022,80
