indicator_id,census_tract_id,sub_group_indicator_name,year,value
2,810000,college,2017,40242
2,810200,college,2017,28056
2,811000,college,2017,36090
2,840100,college,2017,22650
2,840200,college,2017,40344
2,840300,college,2017,33235
2,840400,college,2017,-666666666
2,840700,college,2017,22900
2,840800,college,2017,26106
2,841000,college,2017,32279
2,841100,college,2017,20903
2,841200,college,2017,26835
2,841300,college,2017,40000
2,841400,college,2017,17813
2,841500,college,2017,18245
2,841600,college,2017,24219
2,841700,college,2017,26964
2,841800,college,2017,30089
2,841900,college,2017,30500
2,842000,college,2017,34808
2,842100,college,2017,25400
2,842200,college,2017,80052
2,842300,college,2017,34306
2,842400,college,2017,40263
2,842500,college,2017,27650
2,842600,college,2017,41031
2,842800,college,2017,18271
2,842900,college,2017,30313
2,843000,college,2017,21078
2,843100,college,2017,21750
2,252000,college,2017,25768
2,260100,college,2017,21932
2,260700,college,2017,22443
2,271300,college,2017,38125
2,81700,college,2017,-666666666
2,100100,college,2017,46897
2,100500,college,2017,74653
2,130100,college,2017,23839
2,140200,college,2017,32933
2,140500,college,2017,28750
2,160300,college,2017,40281
2,160800,college,2017,28650
2,40700,college,2017,40531
2,40900,college,2017,45481
2,60100,college,2017,60147
2,60300,college,2017,57083
2,60400,college,2017,50750
2,62000,college,2017,41635
2,62200,college,2017,43250
2,62500,college,2017,112734
2,63100,college,2017,74219
2,90200,college,2017,42443
2,100400,college,2017,34628
2,100700,college,2017,49352
2,120300,college,2017,52588
2,292500,college,2017,24140
2,71500,college,2017,41232
2,71700,college,2017,34500
2,20200,college,2017,29484
2,31700,college,2017,35634
2,31300,college,2017,27430
2,814700,college,2017,33750
2,20100,college,2017,22196
2,161100,college,2017,37054
2,161200,college,2017,36750
2,283800,college,2017,40188
2,390600,college,2017,25250
2,807000,college,2017,37555
2,381500,college,2017,-666666666
2,410700,college,2017,30391
2,808301,college,2017,37734
2,808302,college,2017,31008
2,809300,college,2017,-666666666
2,460400,college,2017,25208
2,560700,college,2017,29271
2,561100,college,2017,50496
2,570200,college,2017,36691
2,10100,college,2017,35851
2,30500,college,2017,46940
2,710700,college,2017,27226
2,710900,college,2017,28333
2,711400,college,2017,38750
2,720300,college,2017,64063
2,730300,college,2017,27188
2,740100,college,2017,52125
2,828802,college,2017,48456
2,828900,college,2017,27405
2,829901,college,2017,45859
2,829902,college,2017,38224
2,62800,college,2017,37917
2,63400,college,2017,67639
2,70500,college,2017,-666666666
2,71600,college,2017,53250
2,71800,college,2017,-666666666
2,80100,college,2017,48036
2,80400,college,2017,28283
2,81300,college,2017,62819
2,100200,college,2017,42356
2,100300,college,2017,40098
2,120400,college,2017,36250
2,150300,college,2017,45552
2,151200,college,2017,34366
2,160200,college,2017,26000
2,170400,college,2017,38571
2,170800,college,2017,36638
2,180100,college,2017,45000
2,828505,college,2017,29205
2,828701,college,2017,42134
2,829000,college,2017,21429
2,320400,college,2017,-666666666
2,20500,college,2017,21359
2,31800,college,2017,31696
2,32100,college,2017,50532
2,40100,college,2017,46594
2,50300,college,2017,29129
2,51200,college,2017,42292
2,60200,college,2017,28208
