NAME,S1902_C03_021E,state,county,tract
"Census Tract 8150, Cook County, Illinois",28760,17,031,815000
"Census Tract 8154, Cook County, Illinois",21833,17,031,815400
"Census Tract 8166, Cook County, Illinois",29162,17,031,816600
"Census Tract 8171.01, Cook County, Illinois",25713,17,031,817101
"Census Tract 8172, Cook County, Illinois",20918,17,031,817200
"Census Tract 8174, Cook County, Illinois",17918,17,031,817400
"Census Tract 8199, Cook County, Illinois",-666666666,17,031,819900
"Census Tract 8205.01, Cook County, Illinois",30838,17,031,820501
"Census Tract 8224, Cook County, Illinois",21651,17,031,822400
"Census Tract 8228.02, Cook County, Illinois",26517,17,031,822802
"Census Tract 8233.03, Cook County, Illinois",18216,17,031,823303
"Census Tract 8236.04, Cook County, Illinois",26558,17,031,823604
"Census Tract 2003, Cook County, Illinois",-999999999,17,031,200300
"Census Tract 1101, Cook County, Illinois",19971,17,031,110100
"Census Tract 1102, Cook County, Illinois",45346,17,031,110200
"Census Tract 1302, Cook County, Illinois",27678,17,031,130200
"Census Tract 8030.05, Cook County, Illinois",-999999999,17,031,803005
"Census Tract 8033, Cook County, Illinois",31360,17,031,803300
"Census Tract 8036.05, Cook County, Illinois",22002,17,031,803605
"Census Tract 2718, Cook County, Illinois",6660,17,031,271800
"Census Tract 2808, Cook County, Illinois",12550,17,031,280800
"Census Tract 2809, Cook County, Illinois",11528,17,031,280900
"Census Tract 2819, Cook County, Illinois",66097,17,031,281900
"Census Tract 2912, Cook County, Illinois",11341,17,031,291200
"Census Tract 8039.02, Cook County, Illinois",25176,17,031,803902
"Census Tract 8041.04, Cook County, Illinois",32972,17,031,804104
"Census Tract 8041.05, Cook County, Illinois",8481,17,031,804105
"Census Tract 8042.02, Cook County, Illinois",-666666666,17,031,804202
"Census Tract 8048.05, Cook County, Illinois",52552,17,031,804805
"Census Tract 8300.04, Cook County, Illinois",32882,17,031,830004
"Census Tract 8300.05, Cook County, Illinois",46355,17,031,830005
"Census Tract 8206.06, Cook County, Illinois",5833,17,031,820606
"Census Tract 8238.05, Cook County, Illinois",18752,17,031,823805
"Census Tract 8238.06, Cook County, Illinois",1458,17,031,823806
"Census Tract 8240.03, Cook County, Illinois",-999999999,17,031,824003
"Census Tract 8240.04, Cook County, Illinois",9631,17,031,824004
"Census Tract 8240.05, Cook County, Illinois",63082,17,031,824005
"Census Tract 8240.06, Cook County, Illinois",-999999999,17,031,824006
"Census Tract 8241.13, Cook County, Illinois",34126,17,031,824113
"Census Tract 8241.14, Cook County, Illinois",72430,17,031,824114
"Census Tract 8241.15, Cook County, Illinois",13334,17,031,824115
"Census Tract 8241.16, Cook County, Illinois",45730,17,031,824116
"Census Tract 8241.17, Cook County, Illinois",42226,17,031,824117
"Census Tract 8241.19, Cook County, Illinois",-666666666,17,031,824119
"Census Tract 8241.20, Cook County, Illinois",32572,17,031,824120
"Census Tract 8241.21, Cook County, Illinois",40263,17,031,824121
"Census Tract 8241.22, Cook County, Illinois",17072,17,031,824122
"Census Tract 8241.23, Cook County, Illinois",29580,17,031,824123
"Census Tract 8253.03, Cook County, Illinois",27580,17,031,825303
"Census Tract 8253.04, Cook County, Illinois",-999999999,17,031,825304
"Census Tract 8300.07, Cook County, Illinois",21730,17,031,830007
"Census Tract 8300.08, Cook County, Illinois",27922,17,031,830008
"Census Tract 8305, Cook County, Illinois",-999999999,17,031,830500
"Census Tract 8306, Cook County, Illinois",20775,17,031,830600
"Census Tract 8307, Cook County, Illinois",15904,17,031,830700
"Census Tract 8308, Cook County, Illinois",28004,17,031,830800
"Census Tract 8309, Cook County, Illinois",34213,17,031,830900
"Census Tract 8310, Cook County, Illinois",143099,17,031,831000
"Census Tract 8311, Cook County, Illinois",-999999999,17,031,831100
"Census Tract 8312, Cook County, Illinois",27109,17,031,831200
"Census Tract 8313, Cook County, Illinois",16762,17,031,831300
"Census Tract 8314, Cook County, Illinois",15064,17,031,831400
"Census Tract 8315, Cook County, Illinois",25356,17,031,831500
"Census Tract 8316, Cook County, Illinois",31685,17,031,831600
"Census Tract 8317, Cook County, Illinois",33366,17,031,831700
"Census Tract 8318, Cook County, Illinois",25944,17,031,831800
"Census Tract 8319, Cook County, Illinois",36332,17,031,831900
"Census Tract 8320, Cook County, Illinois",23277,17,031,832000
"Census Tract 8321, Cook County, Illinois",29437,17,031,832100
"Census Tract 8322, Cook County, Illinois",42258,17,031,832200
"Census Tract 8323, Cook County, Illinois",71805,17,031,832300
"Census Tract 8324, Cook County, Illinois",28812,17,031,832400
"Census Tract 8325, Cook County, Illinois",21720,17,031,832500
"Census Tract 8326, Cook County, Illinois",-999999999,17,031,832600
"Census Tract 8329, Cook County, Illinois",39191,17,031,832900
"Census Tract 8330, Cook County, Illinois",80213,17,031,833000
"Census Tract 633.02, Cook County, Illinois",81975,17,031,063302
"Census Tract 633.03, Cook County, Illinois",47084,17,031,063303
"Census Tract 701.01, Cook County, Illinois",30200,17,031,070101
"Census Tract 701.02, Cook County, Illinois",26057,17,031,070102
"Census Tract 701.03, Cook County, Illinois",47304,17,031,070103
"Census Tract 802.01, Cook County, Illinois",43346,17,031,080201
"Census Tract 802.02, Cook County, Illinois",105075,17,031,080202
"Census Tract 812.01, Cook County, Illinois",66438,17,031,081201
"Census Tract 812.02, Cook County, Illinois",208029,17,031,081202
"Census Tract 814.01, Cook County, Illinois",136943,17,031,081401
"Census Tract 814.02, Cook County, Illinois",47360,17,031,081402
"Census Tract 814.03, Cook County, Illinois",71650,17,031,081403
"Census Tract 1105.01, Cook County, Illinois",-999999999,17,031,110501
"Census Tract 1105.02, Cook County, Illinois",29124,17,031,110502
"Census Tract 8331, Cook County, Illinois",35717,17,031,833100
"Census Tract 8333, Cook County, Illinois",15341,17,031,833300
"Census Tract 8339, Cook County, Illinois",18500,17,031,833900
"Census Tract 8340, Cook County, Illinois",19951,17,031,834000
"Census Tract 8342, Cook County, Illinois",23873,17,031,834200
"Census Tract 8343, Cook County, Illinois",21509,17,031,834300
"Census Tract 8344, Cook County, Illinois",21086,17,031,834400
"Census Tract 8345, Cook County, Illinois",15117,17,031,834500
"Census Tract 8346, Cook County, Illinois",16774,17,031,834600
"Census Tract 8347, Cook County, Illinois",16359,17,031,834700
"Census Tract 8348, Cook County, Illinois",13817,17,031,834800
"Census Tract 8349, Cook County, Illinois",12332,17,031,834900
"Census Tract 8350, Cook County, Illinois",17442,17,031,835000
"Census Tract 8351, Cook County, Illinois",17832,17,031,835100
"Census Tract 8352, Cook County, Illinois",-666666666,17,031,835200
"Census Tract 8355, Cook County, Illinois",15871,17,031,835500
"Census Tract 8356, Cook County, Illinois",21677,17,031,835600
"Census Tract 8357, Cook County, Illinois",9669,17,031,835700
"Census Tract 8358, Cook County, Illinois",22583,17,031,835800
"Census Tract 8359, Cook County, Illinois",21134,17,031,835900
"Census Tract 8360, Cook County, Illinois",29530,17,031,836000
"Census Tract 8361, Cook County, Illinois",16081,17,031,836100
"Census Tract 8362, Cook County, Illinois",11432,17,031,836200
"Census Tract 3404, Cook County, Illinois",27119,17,031,340400
"Census Tract 3602, Cook County, Illinois",11921,17,031,360200
"Census Tract 1908, Cook County, Illinois",9395,17,031,190800
"Census Tract 1912, Cook County, Illinois",34910,17,031,191200
"Census Tract 2101, Cook County, Illinois",58017,17,031,210100
"Census Tract 2204, Cook County, Illinois",-999999999,17,031,220400
"Census Tract 2408, Cook County, Illinois",19991,17,031,240800
"Census Tract 2430, Cook County, Illinois",43631,17,031,243000
"Census Tract 2508, Cook County, Illinois",17267,17,031,250800
"Census Tract 2517, Cook County, Illinois",14696,17,031,251700
"Census Tract 8184.01, Cook County, Illinois",30545,17,031,818401
"Census Tract 8165, Cook County, Illinois",5370,17,031,816500
"Census Tract 4301.01, Cook County, Illinois",23506,17,031,430101
"Census Tract 4301.02, Cook County, Illinois",22458,17,031,430102
"Census Tract 4313.01, Cook County, Illinois",12358,17,031,431301
"Census Tract 4313.02, Cook County, Illinois",15181,17,031,431302
"Census Tract 4401.01, Cook County, Illinois",14226,17,031,440101
"Census Tract 4401.02, Cook County, Illinois",16006,17,031,440102
"Census Tract 4402.01, Cook County, Illinois",24174,17,031,440201
"Census Tract 4402.02, Cook County, Illinois",23725,17,031,440202
"Census Tract 4603.01, Cook County, Illinois",15215,17,031,460301
"Census Tract 4603.02, Cook County, Illinois",12796,17,031,460302
"Census Tract 4909.01, Cook County, Illinois",23216,17,031,490901
"Census Tract 4909.02, Cook County, Illinois",21563,17,031,490902
"Census Tract 5305.01, Cook County, Illinois",19943,17,031,530501
"Census Tract 5305.02, Cook County, Illinois",19651,17,031,530502
"Census Tract 5305.03, Cook County, Illinois",17410,17,031,530503
"Census Tract 5401.01, Cook County, Illinois",8811,17,031,540101
"Census Tract 5401.02, Cook County, Illinois",7047,17,031,540102
"Census Tract 5805.01, Cook County, Illinois",17026,17,031,580501
"Census Tract 5805.02, Cook County, Illinois",-999999999,17,031,580502
"Census Tract 6503.01, Cook County, Illinois",18206,17,031,650301
"Census Tract 6503.02, Cook County, Illinois",25695,17,031,650302
"Census Tract 6603.01, Cook County, Illinois",8800,17,031,660301
"Census Tract 6603.02, Cook County, Illinois",12466,17,031,660302
"Census Tract 7003.01, Cook County, Illinois",32210,17,031,700301
"Census Tract 7003.02, Cook County, Illinois",34699,17,031,700302
