NAME,S1903_C03_001E,state,county,tract
"Census Tract 4302, Cook County, Illinois",22945,17,031,430200
"Census Tract 4305, Cook County, Illinois",18432,17,031,430500
"Census Tract 4314, Cook County, Illinois",28952,17,031,431400
"Census Tract 4407, Cook County, Illinois",37228,17,031,440700
"Census Tract 4701, Cook County, Illinois",25287,17,031,470100
"Census Tract 8214.02, Cook County, Illinois",49300,17,031,821402
"Census Tract 8221.01, Cook County, Illinois",70030,17,031,822101
"Census Tract 8231.02, Cook County, Illinois",71830,17,031,823102
"Census Tract 8233.04, Cook County, Illinois",49014,17,031,823304
"Census Tract 8245.07, Cook County, Illinois",61774,17,031,824507
"Census Tract 8248, Cook County, Illinois",46156,17,031,824800
"Census Tract 8249, Cook County, Illinois",34000,17,031,824900
"Census Tract 8254, Cook County, Illinois",63191,17,031,825400
"Census Tract 8255.01, Cook County, Illinois",48975,17,031,825501
"Census Tract 8255.03, Cook County, Illinois",58531,17,031,825503
"Census Tract 8255.05, Cook County, Illinois",62602,17,031,825505
"Census Tract 8262.02, Cook County, Illinois",39375,17,031,826202
"Census Tract 8036.03, Cook County, Illinois",157125,17,031,803603
"Census Tract 8036.10, Cook County, Illinois",65639,17,031,803610
"Census Tract 8042.01, Cook County, Illinois",148670,17,031,804201
"Census Tract 8175, Cook County, Illinois",32900,17,031,817500
"Census Tract 8177, Cook County, Illinois",61250,17,031,817700
"Census Tract 8179, Cook County, Illinois",47847,17,031,817900
"Census Tract 8214.01, Cook County, Illinois",43560,17,031,821401
"Census Tract 8201.04, Cook County, Illinois",60000,17,031,820104
"Census Tract 8202.01, Cook County, Illinois",106317,17,031,820201
"Census Tract 8212, Cook County, Illinois",39939,17,031,821200
"Census Tract 8216, Cook County, Illinois",64102,17,031,821600
"Census Tract 8217, Cook County, Illinois",87500,17,031,821700
"Census Tract 8221.02, Cook County, Illinois",54004,17,031,822102
"Census Tract 2226, Cook County, Illinois",80735,17,031,222600
"Census Tract 2308, Cook County, Illinois",55365,17,031,230800
"Census Tract 2407, Cook County, Illinois",76875,17,031,240700
"Census Tract 2410, Cook County, Illinois",65900,17,031,241000
"Census Tract 612, Cook County, Illinois",112292,17,031,061200
"Census Tract 615, Cook County, Illinois",125000,17,031,061500
"Census Tract 629, Cook County, Illinois",128750,17,031,062900
"Census Tract 2107, Cook County, Illinois",64569,17,031,210700
"Census Tract 2211, Cook County, Illinois",55194,17,031,221100
"Census Tract 2212, Cook County, Illinois",91354,17,031,221200
"Census Tract 630, Cook County, Illinois",99213,17,031,063000
"Census Tract 712, Cook County, Illinois",109191,17,031,071200
"Census Tract 815, Cook County, Illinois",103664,17,031,081500
"Census Tract 903, Cook County, Illinois",97102,17,031,090300
"Census Tract 1303, Cook County, Illinois",56882,17,031,130300
"Census Tract 1006, Cook County, Illinois",75601,17,031,100600
"Census Tract 1104, Cook County, Illinois",69736,17,031,110400
"Census Tract 1202, Cook County, Illinois",105833,17,031,120200
"Census Tract 7708, Cook County, Illinois",58909,17,031,770800
"Census Tract 6910, Cook County, Illinois",36806,17,031,691000
"Census Tract 7104, Cook County, Illinois",35274,17,031,710400
"Census Tract 7404, Cook County, Illinois",85798,17,031,740400
"Census Tract 8008, Cook County, Illinois",93906,17,031,800800
"Census Tract 810, Cook County, Illinois",60566,17,031,081000
"Census Tract 304, Cook County, Illinois",50781,17,031,030400
"Census Tract 5101, Cook County, Illinois",36081,17,031,510100
"Census Tract 4801, Cook County, Illinois",61495,17,031,480100
