NAME,S1902_C03_019E,state,county,tract
"Census Tract 8319, Cook County, Illinois",82150,17,031,831900
"Census Tract 8320, Cook County, Illinois",75317,17,031,832000
"Census Tract 8321, Cook County, Illinois",54967,17,031,832100
"Census Tract 8322, Cook County, Illinois",79426,17,031,832200
"Census Tract 8323, Cook County, Illinois",72845,17,031,832300
"Census Tract 8324, Cook County, Illinois",62696,17,031,832400
"Census Tract 8325, Cook County, Illinois",94961,17,031,832500
"Census Tract 8273, Cook County, Illinois",14294,17,031,827300
"Census Tract 8257, Cook County, Illinois",21969,17,031,825700
"Census Tract 8258.03, Cook County, Illinois",26532,17,031,825803
"Census Tract 8263.03, Cook County, Illinois",23567,17,031,826303
"Census Tract 8285.03, Cook County, Illinois",20169,17,031,828503
"Census Tract 6404, Cook County, Illinois",27598,17,031,640400
"Census Tract 6604, Cook County, Illinois",18741,17,031,660400
"Census Tract 6608, Cook County, Illinois",15849,17,031,660800
"Census Tract 6713, Cook County, Illinois",12146,17,031,671300
"Census Tract 8253.02, Cook County, Illinois",33627,17,031,825302
"Census Tract 8265, Cook County, Illinois",19441,17,031,826500
"Census Tract 8267, Cook County, Illinois",22137,17,031,826700
"Census Tract 8271, Cook County, Illinois",17568,17,031,827100
"Census Tract 8280, Cook County, Illinois",24745,17,031,828000
"Census Tract 8282.02, Cook County, Illinois",32056,17,031,828202
"Census Tract 8293.02, Cook County, Illinois",19747,17,031,829302
"Census Tract 8044.06, Cook County, Illinois",26535,17,031,804406
"Census Tract 8045.06, Cook County, Illinois",42695,17,031,804506
"Census Tract 8045.07, Cook County, Illinois",41991,17,031,804507
"Census Tract 8045.08, Cook County, Illinois",26461,17,031,804508
"Census Tract 8045.09, Cook County, Illinois",26401,17,031,804509
"Census Tract 8045.10, Cook County, Illinois",18878,17,031,804510
"Census Tract 8045.11, Cook County, Illinois",23149,17,031,804511
"Census Tract 8046.08, Cook County, Illinois",46131,17,031,804608
"Census Tract 8046.09, Cook County, Illinois",55800,17,031,804609
"Census Tract 8046.10, Cook County, Illinois",45493,17,031,804610
"Census Tract 8046.11, Cook County, Illinois",41722,17,031,804611
"Census Tract 8047.13, Cook County, Illinois",37567,17,031,804713
"Census Tract 8047.14, Cook County, Illinois",35523,17,031,804714
"Census Tract 8047.15, Cook County, Illinois",20540,17,031,804715
"Census Tract 8047.16, Cook County, Illinois",37877,17,031,804716
"Census Tract 8061.03, Cook County, Illinois",44093,17,031,806103
"Census Tract 8061.04, Cook County, Illinois",27238,17,031,806104
"Census Tract 8062.01, Cook County, Illinois",34219,17,031,806201
"Census Tract 8062.02, Cook County, Illinois",38267,17,031,806202
"Census Tract 8123.01, Cook County, Illinois",61085,17,031,812301
"Census Tract 8123.02, Cook County, Illinois",51335,17,031,812302
"Census Tract 8128.01, Cook County, Illinois",49131,17,031,812801
"Census Tract 8128.02, Cook County, Illinois",54691,17,031,812802
"Census Tract 8133.01, Cook County, Illinois",14728,17,031,813301
"Census Tract 8133.02, Cook County, Illinois",17412,17,031,813302
"Census Tract 8137.01, Cook County, Illinois",28898,17,031,813701
"Census Tract 8137.02, Cook County, Illinois",18585,17,031,813702
"Census Tract 8138.01, Cook County, Illinois",17103,17,031,813801
"Census Tract 8138.02, Cook County, Illinois",14962,17,031,813802
"Census Tract 8206.03, Cook County, Illinois",27229,17,031,820603
"Census Tract 8206.04, Cook County, Illinois",21096,17,031,820604
"Census Tract 8206.05, Cook County, Illinois",21827,17,031,820605
"Census Tract 8206.06, Cook County, Illinois",33722,17,031,820606
"Census Tract 8238.05, Cook County, Illinois",34220,17,031,823805
"Census Tract 8238.06, Cook County, Illinois",26152,17,031,823806
"Census Tract 8240.03, Cook County, Illinois",41257,17,031,824003
"Census Tract 8240.04, Cook County, Illinois",45616,17,031,824004
"Census Tract 8326, Cook County, Illinois",103638,17,031,832600
"Census Tract 203.02, Cook County, Illinois",37244,17,031,020302
"Census Tract 206.02, Cook County, Illinois",22552,17,031,020602
"Census Tract 207.01, Cook County, Illinois",43973,17,031,020701
"Census Tract 203.01, Cook County, Illinois",32517,17,031,020301
"Census Tract 206.01, Cook County, Illinois",20190,17,031,020601
"Census Tract 207.02, Cook County, Illinois",18582,17,031,020702
"Census Tract 208.01, Cook County, Illinois",27604,17,031,020801
"Census Tract 208.02, Cook County, Illinois",18776,17,031,020802
"Census Tract 209.01, Cook County, Illinois",21348,17,031,020901
"Census Tract 209.02, Cook County, Illinois",18404,17,031,020902
"Census Tract 8154, Cook County, Illinois",26470,17,031,815400
"Census Tract 8166, Cook County, Illinois",18289,17,031,816600
"Census Tract 8171.01, Cook County, Illinois",24887,17,031,817101
"Census Tract 8172, Cook County, Illinois",21078,17,031,817200
"Census Tract 8174, Cook County, Illinois",21035,17,031,817400
"Census Tract 8199, Cook County, Illinois",82218,17,031,819900
"Census Tract 8205.01, Cook County, Illinois",30115,17,031,820501
"Census Tract 8224, Cook County, Illinois",22875,17,031,822400
"Census Tract 8228.02, Cook County, Illinois",35066,17,031,822802
"Census Tract 8233.03, Cook County, Illinois",31384,17,031,823303
"Census Tract 8236.04, Cook County, Illinois",46945,17,031,823604
"Census Tract 4205, Cook County, Illinois",17686,17,031,420500
"Census Tract 4304, Cook County, Illinois",17282,17,031,430400
"Census Tract 4306, Cook County, Illinois",25742,17,031,430600
"Census Tract 4409, Cook County, Illinois",21305,17,031,440900
"Census Tract 4601, Cook County, Illinois",17859,17,031,460100
"Census Tract 4805, Cook County, Illinois",25135,17,031,480500
"Census Tract 2831, Cook County, Illinois",27068,17,031,283100
"Census Tract 3007, Cook County, Illinois",14129,17,031,300700
"Census Tract 3008, Cook County, Illinois",10687,17,031,300800
"Census Tract 3406, Cook County, Illinois",9219,17,031,340600
"Census Tract 3403, Cook County, Illinois",22393,17,031,340300
"Census Tract 3510, Cook County, Illinois",38955,17,031,351000
"Census Tract 8143, Cook County, Illinois",15533,17,031,814300
"Census Tract 8159, Cook County, Illinois",43362,17,031,815900
"Census Tract 8087.02, Cook County, Illinois",13405,17,031,808702
"Census Tract 6606, Cook County, Illinois",16645,17,031,660600
"Census Tract 6701, Cook County, Illinois",16600,17,031,670100
"Census Tract 6708, Cook County, Illinois",19976,17,031,670800
"Census Tract 6711, Cook County, Illinois",12949,17,031,671100
"Census Tract 6712, Cook County, Illinois",13226,17,031,671200
"Census Tract 6714, Cook County, Illinois",24147,17,031,671400
"Census Tract 4909.01, Cook County, Illinois",24631,17,031,490901
"Census Tract 4909.02, Cook County, Illinois",24423,17,031,490902
"Census Tract 5305.02, Cook County, Illinois",22913,17,031,530502
"Census Tract 2225, Cook County, Illinois",38093,17,031,222500
"Census Tract 2228, Cook County, Illinois",27522,17,031,222800
"Census Tract 8072, Cook County, Illinois",41678,17,031,807200
"Census Tract 8075, Cook County, Illinois",39728,17,031,807500
"Census Tract 7502, Cook County, Illinois",48529,17,031,750200
"Census Tract 8043.08, Cook County, Illinois",35280,17,031,804308
"Census Tract 8043.09, Cook County, Illinois",32271,17,031,804309
"Census Tract 8043.10, Cook County, Illinois",40847,17,031,804310
"Census Tract 301.02, Cook County, Illinois",43015,17,031,030102
"Census Tract 7608.02, Cook County, Illinois",35382,17,031,760802
"Census Tract 7608.03, Cook County, Illinois",26339,17,031,760803
"Census Tract 7702.01, Cook County, Illinois",38537,17,031,770201
"Census Tract 7702.02, Cook County, Illinois",40700,17,031,770202
"Census Tract 7706.01, Cook County, Illinois",36342,17,031,770601
"Census Tract 7706.02, Cook County, Illinois",25774,17,031,770602
"Census Tract 7709.01, Cook County, Illinois",38393,17,031,770901
"Census Tract 7709.02, Cook County, Illinois",31745,17,031,770902
"Census Tract 8020.03, Cook County, Illinois",47126,17,031,802003
"Census Tract 8020.04, Cook County, Illinois",34218,17,031,802004
"Census Tract 8237.02, Cook County, Illinois",30558,17,031,823702
"Census Tract 8250, Cook County, Illinois",32015,17,031,825000
"Census Tract 8262.01, Cook County, Illinois",30301,17,031,826201
"Census Tract 8263.01, Cook County, Illinois",24003,17,031,826301
"Census Tract 6715, Cook County, Illinois",15127,17,031,671500
"Census Tract 6716, Cook County, Illinois",15357,17,031,671600
"Census Tract 6720, Cook County, Illinois",17374,17,031,672000
"Census Tract 8024.03, Cook County, Illinois",50513,17,031,802403
"Census Tract 8024.04, Cook County, Illinois",28233,17,031,802404
"Census Tract 8025.05, Cook County, Illinois",26614,17,031,802505
"Census Tract 8025.06, Cook County, Illinois",30458,17,031,802506
"Census Tract 8026.07, Cook County, Illinois",57327,17,031,802607
"Census Tract 8026.08, Cook County, Illinois",42586,17,031,802608
"Census Tract 8026.09, Cook County, Illinois",26636,17,031,802609
"Census Tract 8026.10, Cook County, Illinois",41466,17,031,802610
"Census Tract 8030.12, Cook County, Illinois",39223,17,031,803012
"Census Tract 8030.13, Cook County, Illinois",44377,17,031,803013
"Census Tract 8030.14, Cook County, Illinois",38066,17,031,803014
"Census Tract 8030.15, Cook County, Illinois",48605,17,031,803015
"Census Tract 8030.16, Cook County, Illinois",42408,17,031,803016
"Census Tract 8030.17, Cook County, Illinois",54792,17,031,803017
"Census Tract 8036.11, Cook County, Illinois",27012,17,031,803611
"Census Tract 8036.12, Cook County, Illinois",26279,17,031,803612
"Census Tract 8037.01, Cook County, Illinois",52148,17,031,803701
"Census Tract 8382, Cook County, Illinois",22713,17,031,838200
"Census Tract 8383, Cook County, Illinois",58471,17,031,838300
"Census Tract 8386, Cook County, Illinois",9308,17,031,838600
"Census Tract 8380, Cook County, Illinois",29284,17,031,838000
"Census Tract 2424, Cook County, Illinois",59317,17,031,242400
"Census Tract 2307, Cook County, Illinois",15680,17,031,230700
"Census Tract 2402, Cook County, Illinois",106146,17,031,240200
"Census Tract 2414, Cook County, Illinois",71352,17,031,241400
"Census Tract 2425, Cook County, Illinois",40134,17,031,242500
"Census Tract 2426, Cook County, Illinois",42088,17,031,242600
"Census Tract 2427, Cook County, Illinois",33469,17,031,242700
"Census Tract 2431, Cook County, Illinois",66479,17,031,243100
"Census Tract 2433, Cook County, Illinois",64760,17,031,243300
"Census Tract 2503, Cook County, Illinois",17650,17,031,250300
"Census Tract 2515, Cook County, Illinois",18296,17,031,251500
"Census Tract 2519, Cook County, Illinois",13285,17,031,251900
"Census Tract 8211.01, Cook County, Illinois",23565,17,031,821101
"Census Tract 8202.02, Cook County, Illinois",27963,17,031,820202
"Census Tract 8203, Cook County, Illinois",22640,17,031,820300
"Census Tract 8211.02, Cook County, Illinois",27188,17,031,821102
"Census Tract 8213, Cook County, Illinois",21839,17,031,821300
"Census Tract 2605, Cook County, Illinois",14508,17,031,260500
"Census Tract 8051.07, Cook County, Illinois",28198,17,031,805107
"Census Tract 6903, Cook County, Illinois",14705,17,031,690300
"Census Tract 6915, Cook County, Illinois",13314,17,031,691500
"Census Tract 7101, Cook County, Illinois",13168,17,031,710100
"Census Tract 7201, Cook County, Illinois",70738,17,031,720100
"Census Tract 7202, Cook County, Illinois",49008,17,031,720200
"Census Tract 7204, Cook County, Illinois",43002,17,031,720400
"Census Tract 7207, Cook County, Illinois",43670,17,031,720700
"Census Tract 1404, Cook County, Illinois",34710,17,031,140400
"Census Tract 1408, Cook County, Illinois",45122,17,031,140800
"Census Tract 1502, Cook County, Illinois",36171,17,031,150200
"Census Tract 1607, Cook County, Illinois",43028,17,031,160700
"Census Tract 1610, Cook County, Illinois",47754,17,031,161000
"Census Tract 1703, Cook County, Illinois",28547,17,031,170300
"Census Tract 1705, Cook County, Illinois",36516,17,031,170500
"Census Tract 1710, Cook County, Illinois",39113,17,031,171000
"Census Tract 8126, Cook County, Illinois",48286,17,031,812600
"Census Tract 8130, Cook County, Illinois",51716,17,031,813000
"Census Tract 8142, Cook County, Illinois",17463,17,031,814200
"Census Tract 8117.01, Cook County, Illinois",22460,17,031,811701
"Census Tract 8162, Cook County, Illinois",31519,17,031,816200
"Census Tract 8139, Cook County, Illinois",14739,17,031,813900
"Census Tract 8146, Cook County, Illinois",23035,17,031,814600
"Census Tract 8152, Cook County, Illinois",23385,17,031,815200
"Census Tract 5501, Cook County, Illinois",26737,17,031,550100
