NAME,B25059_001E,state,county,tract
"Census Tract 623, Cook County, Illinois",2539,17,031,062300
"Census Tract 624, Cook County, Illinois",2792,17,031,062400
"Census Tract 625, Cook County, Illinois",2781,17,031,062500
"Census Tract 626, Cook County, Illinois",2078,17,031,062600
"Census Tract 627, Cook County, Illinois",2090,17,031,062700
"Census Tract 628, Cook County, Illinois",2575,17,031,062800
"Census Tract 629, Cook County, Illinois",2198,17,031,062900
"Census Tract 630, Cook County, Illinois",2115,17,031,063000
"Census Tract 631, Cook County, Illinois",1985,17,031,063100
"Census Tract 632, Cook County, Illinois",1907,17,031,063200
"Census Tract 633.01, Cook County, Illinois",1704,17,031,063301
"Census Tract 633.02, Cook County, Illinois",1891,17,031,063302
"Census Tract 633.03, Cook County, Illinois",3398,17,031,063303
"Census Tract 634, Cook County, Illinois",2480,17,031,063400
"Census Tract 701.01, Cook County, Illinois",1941,17,031,070101
"Census Tract 701.02, Cook County, Illinois",1985,17,031,070102
"Census Tract 701.03, Cook County, Illinois",1746,17,031,070103
"Census Tract 702, Cook County, Illinois",2042,17,031,070200
"Census Tract 703, Cook County, Illinois",2802,17,031,070300
"Census Tract 704, Cook County, Illinois",1991,17,031,070400
"Census Tract 705, Cook County, Illinois",2268,17,031,070500
"Census Tract 706, Cook County, Illinois",3501,17,031,070600
"Census Tract 707, Cook County, Illinois",1999,17,031,070700
"Census Tract 710, Cook County, Illinois",3050,17,031,071000
"Census Tract 711, Cook County, Illinois",2860,17,031,071100
"Census Tract 712, Cook County, Illinois",2333,17,031,071200
"Census Tract 713, Cook County, Illinois",1979,17,031,071300
"Census Tract 714, Cook County, Illinois",1979,17,031,071400
"Census Tract 715, Cook County, Illinois",2450,17,031,071500
"Census Tract 716, Cook County, Illinois",2128,17,031,071600
"Census Tract 717, Cook County, Illinois",2792,17,031,071700
"Census Tract 718, Cook County, Illinois",2682,17,031,071800
"Census Tract 801, Cook County, Illinois",2272,17,031,080100
"Census Tract 802.01, Cook County, Illinois",1919,17,031,080201
"Census Tract 802.02, Cook County, Illinois",1897,17,031,080202
"Census Tract 803, Cook County, Illinois",2584,17,031,080300
"Census Tract 804, Cook County, Illinois",1706,17,031,080400
"Census Tract 810, Cook County, Illinois",2249,17,031,081000
"Census Tract 811, Cook County, Illinois",2404,17,031,081100
"Census Tract 812.01, Cook County, Illinois",2538,17,031,081201
