NAME,S1903_C03_001E,state,county,tract
"Census Tract 623, Cook County, Illinois",181250,17,031,062300
"Census Tract 624, Cook County, Illinois",141328,17,031,062400
"Census Tract 625, Cook County, Illinois",157143,17,031,062500
"Census Tract 626, Cook County, Illinois",187857,17,031,062600
"Census Tract 627, Cook County, Illinois",139477,17,031,062700
"Census Tract 628, Cook County, Illinois",154911,17,031,062800
"Census Tract 629, Cook County, Illinois",146341,17,031,062900
"Census Tract 630, Cook County, Illinois",99792,17,031,063000
"Census Tract 631, Cook County, Illinois",96188,17,031,063100
"Census Tract 632, Cook County, Illinois",68710,17,031,063200
"Census Tract 633.01, Cook County, Illinois",63889,17,031,063301
"Census Tract 633.02, Cook County, Illinois",84319,17,031,063302
"Census Tract 633.03, Cook County, Illinois",93625,17,031,063303
"Census Tract 634, Cook County, Illinois",113512,17,031,063400
"Census Tract 701.01, Cook County, Illinois",81708,17,031,070101
"Census Tract 701.02, Cook County, Illinois",87912,17,031,070102
"Census Tract 701.03, Cook County, Illinois",72625,17,031,070103
"Census Tract 702, Cook County, Illinois",103402,17,031,070200
"Census Tract 703, Cook County, Illinois",177351,17,031,070300
"Census Tract 704, Cook County, Illinois",210147,17,031,070400
"Census Tract 705, Cook County, Illinois",144389,17,031,070500
"Census Tract 706, Cook County, Illinois",250001,17,031,070600
"Census Tract 707, Cook County, Illinois",150903,17,031,070700
"Census Tract 710, Cook County, Illinois",203491,17,031,071000
"Census Tract 711, Cook County, Illinois",190380,17,031,071100
"Census Tract 712, Cook County, Illinois",132000,17,031,071200
"Census Tract 713, Cook County, Illinois",101848,17,031,071300
"Census Tract 714, Cook County, Illinois",109174,17,031,071400
"Census Tract 715, Cook County, Illinois",101594,17,031,071500
"Census Tract 716, Cook County, Illinois",166875,17,031,071600
"Census Tract 717, Cook County, Illinois",146875,17,031,071700
"Census Tract 718, Cook County, Illinois",192102,17,031,071800
"Census Tract 801, Cook County, Illinois",114375,17,031,080100
"Census Tract 802.01, Cook County, Illinois",120203,17,031,080201
"Census Tract 802.02, Cook County, Illinois",98897,17,031,080202
"Census Tract 803, Cook County, Illinois",145759,17,031,080300
"Census Tract 804, Cook County, Illinois",-666666666,17,031,080400
"Census Tract 810, Cook County, Illinois",76369,17,031,081000
"Census Tract 811, Cook County, Illinois",83763,17,031,081100
"Census Tract 812.01, Cook County, Illinois",122212,17,031,081201
"Census Tract 812.02, Cook County, Illinois",174151,17,031,081202
"Census Tract 813, Cook County, Illinois",107841,17,031,081300
"Census Tract 814.01, Cook County, Illinois",75278,17,031,081401
"Census Tract 814.02, Cook County, Illinois",126910,17,031,081402
"Census Tract 814.03, Cook County, Illinois",104447,17,031,081403
"Census Tract 815, Cook County, Illinois",131579,17,031,081500
"Census Tract 816, Cook County, Illinois",126705,17,031,081600
"Census Tract 817, Cook County, Illinois",116719,17,031,081700
"Census Tract 818, Cook County, Illinois",159515,17,031,081800
"Census Tract 819, Cook County, Illinois",175833,17,031,081900
"Census Tract 901, Cook County, Illinois",115161,17,031,090100
"Census Tract 902, Cook County, Illinois",114385,17,031,090200
"Census Tract 903, Cook County, Illinois",103421,17,031,090300
"Census Tract 1001, Cook County, Illinois",100985,17,031,100100
"Census Tract 1002, Cook County, Illinois",101330,17,031,100200
"Census Tract 1003, Cook County, Illinois",75763,17,031,100300
"Census Tract 1004, Cook County, Illinois",127019,17,031,100400
"Census Tract 1005, Cook County, Illinois",92576,17,031,100500
"Census Tract 1006, Cook County, Illinois",68417,17,031,100600
"Census Tract 1007, Cook County, Illinois",107723,17,031,100700
"Census Tract 1101, Cook County, Illinois",88630,17,031,110100
"Census Tract 1102, Cook County, Illinois",68043,17,031,110200
"Census Tract 1103, Cook County, Illinois",101375,17,031,110300
"Census Tract 1104, Cook County, Illinois",73633,17,031,110400
"Census Tract 1105.01, Cook County, Illinois",95609,17,031,110501
"Census Tract 1105.02, Cook County, Illinois",63891,17,031,110502
"Census Tract 1201, Cook County, Illinois",148306,17,031,120100
"Census Tract 1202, Cook County, Illinois",129028,17,031,120200
"Census Tract 1203, Cook County, Illinois",136316,17,031,120300
"Census Tract 1204, Cook County, Illinois",112639,17,031,120400
"Census Tract 1301, Cook County, Illinois",50385,17,031,130100
"Census Tract 1302, Cook County, Illinois",97361,17,031,130200
"Census Tract 1303, Cook County, Illinois",61905,17,031,130300
"Census Tract 1401, Cook County, Illinois",65388,17,031,140100
"Census Tract 1402, Cook County, Illinois",63241,17,031,140200
"Census Tract 1403.01, Cook County, Illinois",63289,17,031,140301
"Census Tract 1403.02, Cook County, Illinois",66895,17,031,140302
"Census Tract 1404, Cook County, Illinois",87308,17,031,140400
"Census Tract 1405, Cook County, Illinois",77120,17,031,140500
"Census Tract 1406.01, Cook County, Illinois",77727,17,031,140601
"Census Tract 1406.02, Cook County, Illinois",54679,17,031,140602
"Census Tract 1407.01, Cook County, Illinois",79211,17,031,140701
"Census Tract 1407.02, Cook County, Illinois",61500,17,031,140702
"Census Tract 1408, Cook County, Illinois",88836,17,031,140800
"Census Tract 1502, Cook County, Illinois",77538,17,031,150200
"Census Tract 1503, Cook County, Illinois",77384,17,031,150300
"Census Tract 1504.01, Cook County, Illinois",69925,17,031,150401
"Census Tract 1504.02, Cook County, Illinois",88320,17,031,150402
"Census Tract 1505.01, Cook County, Illinois",114375,17,031,150501
"Census Tract 1505.02, Cook County, Illinois",68997,17,031,150502
"Census Tract 1506, Cook County, Illinois",85570,17,031,150600
"Census Tract 1507, Cook County, Illinois",89554,17,031,150700
"Census Tract 1508, Cook County, Illinois",81164,17,031,150800
"Census Tract 1510.01, Cook County, Illinois",85670,17,031,151001
"Census Tract 1510.02, Cook County, Illinois",68906,17,031,151002
"Census Tract 1511, Cook County, Illinois",69875,17,031,151100
"Census Tract 1512, Cook County, Illinois",80907,17,031,151200
"Census Tract 1601, Cook County, Illinois",88625,17,031,160100
"Census Tract 1602, Cook County, Illinois",113482,17,031,160200
"Census Tract 1603, Cook County, Illinois",74125,17,031,160300
"Census Tract 1604, Cook County, Illinois",70764,17,031,160400
"Census Tract 1605.01, Cook County, Illinois",75563,17,031,160501
"Census Tract 1605.02, Cook County, Illinois",82742,17,031,160502
"Census Tract 1606.01, Cook County, Illinois",73796,17,031,160601
"Census Tract 1606.02, Cook County, Illinois",78250,17,031,160602
"Census Tract 1607, Cook County, Illinois",76469,17,031,160700
"Census Tract 1608, Cook County, Illinois",75088,17,031,160800
"Census Tract 1609, Cook County, Illinois",91615,17,031,160900
"Census Tract 1610, Cook County, Illinois",95144,17,031,161000
"Census Tract 1611, Cook County, Illinois",137750,17,031,161100
"Census Tract 1612, Cook County, Illinois",62833,17,031,161200
"Census Tract 1613, Cook County, Illinois",49460,17,031,161300
"Census Tract 1701, Cook County, Illinois",48438,17,031,170100
"Census Tract 1702, Cook County, Illinois",80550,17,031,170200
"Census Tract 1703, Cook County, Illinois",78913,17,031,170300
"Census Tract 1704, Cook County, Illinois",85066,17,031,170400
"Census Tract 1705, Cook County, Illinois",91713,17,031,170500
"Census Tract 1706, Cook County, Illinois",70925,17,031,170600
"Census Tract 1707, Cook County, Illinois",75854,17,031,170700
"Census Tract 1708, Cook County, Illinois",62165,17,031,170800
"Census Tract 1709, Cook County, Illinois",74706,17,031,170900
"Census Tract 1710, Cook County, Illinois",80034,17,031,171000
"Census Tract 1711, Cook County, Illinois",84777,17,031,171100
"Census Tract 1801, Cook County, Illinois",61368,17,031,180100
"Census Tract 1901, Cook County, Illinois",48352,17,031,190100
"Census Tract 1902, Cook County, Illinois",72667,17,031,190200
"Census Tract 1903, Cook County, Illinois",73444,17,031,190300
"Census Tract 1904.01, Cook County, Illinois",77063,17,031,190401
"Census Tract 1904.02, Cook County, Illinois",52115,17,031,190402
"Census Tract 1906.01, Cook County, Illinois",63589,17,031,190601
"Census Tract 1906.02, Cook County, Illinois",56689,17,031,190602
"Census Tract 1907.01, Cook County, Illinois",59000,17,031,190701
"Census Tract 1907.02, Cook County, Illinois",49125,17,031,190702
"Census Tract 1908, Cook County, Illinois",54617,17,031,190800
"Census Tract 1909, Cook County, Illinois",64242,17,031,190900
"Census Tract 1910, Cook County, Illinois",59000,17,031,191000
"Census Tract 1911, Cook County, Illinois",55907,17,031,191100
"Census Tract 1912, Cook County, Illinois",54938,17,031,191200
"Census Tract 1913.01, Cook County, Illinois",57981,17,031,191301
"Census Tract 1913.02, Cook County, Illinois",67572,17,031,191302
"Census Tract 2001, Cook County, Illinois",63523,17,031,200100
"Census Tract 2002, Cook County, Illinois",61319,17,031,200200
"Census Tract 2003, Cook County, Illinois",56125,17,031,200300
"Census Tract 2004.01, Cook County, Illinois",64559,17,031,200401
"Census Tract 2004.02, Cook County, Illinois",68872,17,031,200402
"Census Tract 2101, Cook County, Illinois",94781,17,031,210100
"Census Tract 2104, Cook County, Illinois",55455,17,031,210400
"Census Tract 2105.01, Cook County, Illinois",54481,17,031,210501
"Census Tract 2105.02, Cook County, Illinois",65968,17,031,210502
"Census Tract 2106.01, Cook County, Illinois",85545,17,031,210601
"Census Tract 2106.02, Cook County, Illinois",94605,17,031,210602
"Census Tract 2107, Cook County, Illinois",77442,17,031,210700
"Census Tract 2108, Cook County, Illinois",67308,17,031,210800
"Census Tract 2109, Cook County, Illinois",95975,17,031,210900
"Census Tract 2203, Cook County, Illinois",96641,17,031,220300
"Census Tract 2204, Cook County, Illinois",95962,17,031,220400
"Census Tract 2205, Cook County, Illinois",86953,17,031,220500
"Census Tract 2206.01, Cook County, Illinois",113063,17,031,220601
"Census Tract 2206.02, Cook County, Illinois",61159,17,031,220602
"Census Tract 2207.01, Cook County, Illinois",70022,17,031,220701
"Census Tract 2207.02, Cook County, Illinois",71174,17,031,220702
"Census Tract 2209.01, Cook County, Illinois",74167,17,031,220901
"Census Tract 2209.02, Cook County, Illinois",69167,17,031,220902
"Census Tract 2210, Cook County, Illinois",82813,17,031,221000
"Census Tract 2211, Cook County, Illinois",78073,17,031,221100
"Census Tract 2212, Cook County, Illinois",124450,17,031,221200
"Census Tract 2213, Cook County, Illinois",69643,17,031,221300
"Census Tract 2214, Cook County, Illinois",97404,17,031,221400
"Census Tract 2215, Cook County, Illinois",62952,17,031,221500
"Census Tract 2216, Cook County, Illinois",143750,17,031,221600
"Census Tract 2222, Cook County, Illinois",167188,17,031,222200
"Census Tract 2225, Cook County, Illinois",103125,17,031,222500
"Census Tract 2226, Cook County, Illinois",75078,17,031,222600
"Census Tract 2227, Cook County, Illinois",75943,17,031,222700
"Census Tract 2228, Cook County, Illinois",80850,17,031,222800
"Census Tract 2229, Cook County, Illinois",74940,17,031,222900
"Census Tract 2301, Cook County, Illinois",84583,17,031,230100
"Census Tract 2302, Cook County, Illinois",64844,17,031,230200
"Census Tract 2303, Cook County, Illinois",52557,17,031,230300
"Census Tract 2304, Cook County, Illinois",76286,17,031,230400
"Census Tract 2305, Cook County, Illinois",24250,17,031,230500
"Census Tract 2306, Cook County, Illinois",50603,17,031,230600
"Census Tract 2307, Cook County, Illinois",42891,17,031,230700
"Census Tract 2308, Cook County, Illinois",61111,17,031,230800
"Census Tract 2309, Cook County, Illinois",60337,17,031,230900
"Census Tract 2311, Cook County, Illinois",55714,17,031,231100
"Census Tract 2312, Cook County, Illinois",39042,17,031,231200
"Census Tract 2315, Cook County, Illinois",30341,17,031,231500
"Census Tract 2402, Cook County, Illinois",144659,17,031,240200
"Census Tract 2403, Cook County, Illinois",139432,17,031,240300
"Census Tract 2405, Cook County, Illinois",167768,17,031,240500
"Census Tract 2406, Cook County, Illinois",144286,17,031,240600
"Census Tract 2407, Cook County, Illinois",93534,17,031,240700
"Census Tract 2408, Cook County, Illinois",91964,17,031,240800
"Census Tract 2409, Cook County, Illinois",66250,17,031,240900
"Census Tract 2410, Cook County, Illinois",80000,17,031,241000
"Census Tract 2411, Cook County, Illinois",82830,17,031,241100
