NAME,S1501_C01_059E,state,county,tract
"Census Tract 8261, Cook County, Illinois",30781,17,031,826100
"Census Tract 8263.04, Cook County, Illinois",34131,17,031,826304
"Census Tract 2423, Cook County, Illinois",62708,17,031,242300
"Census Tract 7608.01, Cook County, Illinois",51358,17,031,760801
"Census Tract 4903, Cook County, Illinois",36250,17,031,490300
"Census Tract 4907, Cook County, Illinois",31496,17,031,490700
"Census Tract 5001, Cook County, Illinois",41179,17,031,500100
"Census Tract 5204, Cook County, Illinois",33616,17,031,520400
"Census Tract 8209.02, Cook County, Illinois",44507,17,031,820902
"Census Tract 8210.01, Cook County, Illinois",37480,17,031,821001
"Census Tract 8210.02, Cook County, Illinois",38931,17,031,821002
"Census Tract 8222, Cook County, Illinois",52793,17,031,822200
"Census Tract 8225, Cook County, Illinois",44506,17,031,822500
"Census Tract 8228.01, Cook County, Illinois",53567,17,031,822801
"Census Tract 8232, Cook County, Illinois",42903,17,031,823200
"Census Tract 8236.03, Cook County, Illinois",22625,17,031,823603
"Census Tract 8237.05, Cook County, Illinois",41165,17,031,823705
"Census Tract 8241.07, Cook County, Illinois",45609,17,031,824107
"Census Tract 8243, Cook County, Illinois",27180,17,031,824300
"Census Tract 8255.04, Cook County, Illinois",38659,17,031,825504
"Census Tract 2222, Cook County, Illinois",84948,17,031,222200
"Census Tract 8116, Cook County, Illinois",36779,17,031,811600
"Census Tract 8118, Cook County, Illinois",42054,17,031,811800
"Census Tract 8144, Cook County, Illinois",31213,17,031,814400
"Census Tract 8157.02, Cook County, Illinois",53797,17,031,815702
"Census Tract 8158, Cook County, Illinois",55560,17,031,815800
"Census Tract 8161, Cook County, Illinois",48668,17,031,816100
"Census Tract 8163, Cook County, Illinois",35664,17,031,816300
"Census Tract 8170, Cook County, Illinois",38704,17,031,817000
"Census Tract 8185, Cook County, Illinois",52628,17,031,818500
"Census Tract 8187, Cook County, Illinois",58025,17,031,818700
"Census Tract 2001, Cook County, Illinois",35817,17,031,200100
"Census Tract 1609, Cook County, Illinois",54911,17,031,160900
"Census Tract 1709, Cook County, Illinois",41420,17,031,170900
"Census Tract 2203, Cook County, Illinois",54674,17,031,220300
"Census Tract 6301, Cook County, Illinois",31101,17,031,630100
"Census Tract 6610, Cook County, Illinois",31478,17,031,661000
"Census Tract 6702, Cook County, Illinois",24213,17,031,670200
"Census Tract 104, Cook County, Illinois",40333,17,031,010400
"Census Tract 3801, Cook County, Illinois",42500,17,031,380100
"Census Tract 6718, Cook County, Illinois",29861,17,031,671800
"Census Tract 6911, Cook County, Illinois",27019,17,031,691100
"Census Tract 5303, Cook County, Illinois",37609,17,031,530300
"Census Tract 5609, Cook County, Illinois",51837,17,031,560900
"Census Tract 5803, Cook County, Illinois",28289,17,031,580300
"Census Tract 6113, Cook County, Illinois",22320,17,031,611300
"Census Tract 6116, Cook County, Illinois",28458,17,031,611600
"Census Tract 6203, Cook County, Illinois",37314,17,031,620300
"Census Tract 6204, Cook County, Illinois",35071,17,031,620400
"Census Tract 1201, Cook County, Illinois",81431,17,031,120100
"Census Tract 1401, Cook County, Illinois",38032,17,031,140100
