NAME,S1903_C03_001E,state,county,tract
Census Tract 626; Cook County; Illinois,195357,17,031,062600
Census Tract 627; Cook County; Illinois,151080,17,031,062700
Census Tract 628; Cook County; Illinois,166538,17,031,062800
Census Tract 629; Cook County; Illinois,159088,17,031,062900
Census Tract 630; Cook County; Illinois,104052,17,031,063000
Census Tract 631; Cook County; Illinois,99483,17,031,063100
Census Tract 632; Cook County; Illinois,81020,17,031,063200
Census Tract 633.01; Cook County; Illinois,66447,17,031,063301
Census Tract 633.02; Cook County; Illinois,94173,17,031,063302
Census Tract 633.03; Cook County; Illinois,102500,17,031,063303
Census Tract 634; Cook County; Illinois,95833,17,031,063400
Census Tract 701.01; Cook County; Illinois,93523,17,031,070101
Census Tract 701.02; Cook County; Illinois,92641,17,031,070102
Census Tract 701.03; Cook County; Illinois,78125,17,031,070103
Census Tract 702; Cook County; Illinois,108083,17,031,070200
Census Tract 703; Cook County; Illinois,191051,17,031,070300
Census Tract 704; Cook County; Illinois,243795,17,031,070400
Census Tract 705; Cook County; Illinois,186757,17,031,070500
Census Tract 706; Cook County; Illinois,250001,17,031,070600
Census Tract 707; Cook County; Illinois,160000,17,031,070700
Census Tract 710; Cook County; Illinois,202115,17,031,071000
Census Tract 711; Cook County; Illinois,206304,17,031,071100
Census Tract 712; Cook County; Illinois,125581,17,031,071200
Census Tract 713; Cook County; Illinois,118878,17,031,071300
Census Tract 714; Cook County; Illinois,118295,17,031,071400
Census Tract 715; Cook County; Illinois,115993,17,031,071500
Census Tract 716; Cook County; Illinois,230313,17,031,071600
Census Tract 717; Cook County; Illinois,149625,17,031,071700
Census Tract 718; Cook County; Illinois,211964,17,031,071800
Census Tract 801; Cook County; Illinois,114681,17,031,080100
Census Tract 802.01; Cook County; Illinois,112708,17,031,080201
Census Tract 802.02; Cook County; Illinois,103948,17,031,080202
Census Tract 803; Cook County; Illinois,157112,17,031,080300
Census Tract 804; Cook County; Illinois,-666666666,17,031,080400
Census Tract 810; Cook County; Illinois,79556,17,031,081000
Census Tract 811; Cook County; Illinois,82039,17,031,081100
Census Tract 812.01; Cook County; Illinois,128955,17,031,081201
Census Tract 812.02; Cook County; Illinois,177619,17,031,081202
Census Tract 813; Cook County; Illinois,116424,17,031,081300
Census Tract 814.01; Cook County; Illinois,74432,17,031,081401
Census Tract 814.02; Cook County; Illinois,159026,17,031,081402
Census Tract 814.03; Cook County; Illinois,114052,17,031,081403
Census Tract 815; Cook County; Illinois,151626,17,031,081500
Census Tract 816; Cook County; Illinois,157623,17,031,081600
Census Tract 817; Cook County; Illinois,132903,17,031,081700
Census Tract 818; Cook County; Illinois,164091,17,031,081800
Census Tract 819; Cook County; Illinois,195083,17,031,081900
Census Tract 901; Cook County; Illinois,124667,17,031,090100
