id,census_tract_id,sub_group_indicator_name,year,value
206,660302,median_rent,2018,738
207,700301,median_rent,2018,889
208,700302,median_rent,2018,974
209,700401,median_rent,2018,1138
210,381700,median_rent,2018,-666666666
211,390100,median_rent,2018,966
212,380700,median_rent,2018,698
213,381200,median_rent,2018,679
214,390200,median_rent,2018,981
215,400300,median_rent,2018,935
216,400500,median_rent,2018,727
217,410100,median_rent,2018,1143
218,160602,median_rent,2018,921
219,160501,median_rent,2018,953
220,190601,median_rent,2018,1000
221,190401,median_rent,2018,954
222,190402,median_rent,2018,937
223,10201,median_rent,2018,973
224,10502,median_rent,2018,941
225,10202,median_rent,2018,874
226,10501,median_rent,2018,912
227,10503,median_rent,2018,679
228,10701,median_rent,2018,962
229,10702,median_rent,2018,930
230,20302,median_rent,2018,1089
231,20602,median_rent,2018,1030
232,20701,median_rent,2018,1196
233,20301,median_rent,2018,814
234,20601,median_rent,2018,1031
235,20702,median_rent,2018,993
236,20801,median_rent,2018,1058
237,20802,median_rent,2018,1038
238,20901,median_rent,2018,1045
239,20902,median_rent,2018,932
240,271400,median_rent,2018,813
241,280100,median_rent,2018,2164
242,823500,median_rent,2018,845
243,821500,median_rent,2018,793
244,821800,median_rent,2018,922
245,823400,median_rent,2018,819
246,310300,median_rent,2018,946
247,823901,median_rent,2018,1675
248,824601,median_rent,2018,976
249,824702,median_rent,2018,883
250,200200,median_rent,2018,904
251,221400,median_rent,2018,1282
252,817101,median_rent,2018,875
253,817200,median_rent,2018,880
254,817400,median_rent,2018,733
255,819900,median_rent,2018,1784
256,820501,median_rent,2018,851
257,822400,median_rent,2018,1079
258,822802,median_rent,2018,1135
259,823303,median_rent,2018,890
260,31400,median_rent,2018,1145
261,40600,median_rent,2018,1279
262,817600,median_rent,2018,801
263,818402,median_rent,2018,1139
264,826800,median_rent,2018,720
265,826902,median_rent,2018,675
266,510200,median_rent,2018,938
267,570500,median_rent,2018,730
268,600600,median_rent,2018,675
269,611200,median_rent,2018,551
270,640800,median_rent,2018,797
271,670900,median_rent,2018,703
272,691300,median_rent,2018,723
273,430700,median_rent,2018,822
