census_tract_id,indicator_name,value,year
150300,agg_rent,1571800,2021
150401,agg_rent,756600,2021
150402,agg_rent,487100,2021
150501,agg_rent,407200,2021
150502,agg_rent,603500,2021
150600,agg_rent,520300,2021
150700,agg_rent,563100,2021
150800,agg_rent,531000,2021
151001,agg_rent,372400,2021
151002,agg_rent,922600,2021
151100,agg_rent,843600,2021
151200,agg_rent,231100,2021
160100,agg_rent,462700,2021
160200,agg_rent,366000,2021
160300,agg_rent,931500,2021
160400,agg_rent,1122900,2021
160501,agg_rent,824700,2021
160502,agg_rent,804700,2021
160601,agg_rent,955600,2021
160602,agg_rent,767000,2021
160700,agg_rent,1308600,2021
160800,agg_rent,1251800,2021
160900,agg_rent,570500,2021
161000,agg_rent,519100,2021
161100,agg_rent,232500,2021
161200,agg_rent,450700,2021
161300,agg_rent,864400,2021
170100,agg_rent,255800,2021
170200,agg_rent,137100,2021
170300,agg_rent,607300,2021
170400,agg_rent,247000,2021
170500,agg_rent,506400,2021
170600,agg_rent,83500,2021
170700,agg_rent,301900,2021
170800,agg_rent,296200,2021
170900,agg_rent,297600,2021
171000,agg_rent,636900,2021
171100,agg_rent,290200,2021
180100,agg_rent,842000,2021
190100,agg_rent,519800,2021
190200,agg_rent,670400,2021
190300,agg_rent,826100,2021
190401,agg_rent,293300,2021
190402,agg_rent,892800,2021
190601,agg_rent,373900,2021
190602,agg_rent,356300,2021
190701,agg_rent,475500,2021
190702,agg_rent,793200,2021
190800,agg_rent,1095000,2021
190900,agg_rent,315300,2021
191000,agg_rent,253200,2021
191100,agg_rent,1053000,2021
191200,agg_rent,634100,2021
191301,agg_rent,735800,2021
191302,agg_rent,557200,2021
200100,agg_rent,475800,2021
200200,agg_rent,667900,2021
200300,agg_rent,480900,2021
200401,agg_rent,394400,2021
200402,agg_rent,554300,2021
210100,agg_rent,1102200,2021
210400,agg_rent,526100,2021
210501,agg_rent,1112100,2021
210502,agg_rent,1264500,2021
210601,agg_rent,781500,2021
210602,agg_rent,979300,2021
210700,agg_rent,1103700,2021
210800,agg_rent,322700,2021
210900,agg_rent,842200,2021
220300,agg_rent,712200,2021
220400,agg_rent,1081200,2021
220500,agg_rent,1005000,2021
220601,agg_rent,587100,2021
220602,agg_rent,2974600,2021
220701,agg_rent,922300,2021
220702,agg_rent,1305400,2021
220901,agg_rent,677600,2021
220902,agg_rent,568200,2021
221000,agg_rent,961300,2021
221100,agg_rent,1609200,2021
221200,agg_rent,1017400,2021
221300,agg_rent,1409000,2021
221400,agg_rent,1793800,2021
221500,agg_rent,938100,2021
221600,agg_rent,1238300,2021
222200,agg_rent,1127200,2021
222500,agg_rent,367900,2021
222600,agg_rent,589700,2021
222700,agg_rent,735400,2021
222800,agg_rent,314500,2021
222900,agg_rent,274300,2021
230100,agg_rent,472400,2021
230200,agg_rent,480400,2021
230300,agg_rent,164800,2021
230400,agg_rent,277700,2021
230500,agg_rent,682100,2021
230600,agg_rent,1266800,2021
230700,agg_rent,948000,2021
230800,agg_rent,109300,2021
230900,agg_rent,1490100,2021
231100,agg_rent,185000,2021
231200,agg_rent,1083400,2021
231500,agg_rent,1206200,2021
240200,agg_rent,539400,2021
240300,agg_rent,555400,2021
240500,agg_rent,1014500,2021
240600,agg_rent,443800,2021
240700,agg_rent,646200,2021
240800,agg_rent,355100,2021
240900,agg_rent,414400,2021
241000,agg_rent,735400,2021
241100,agg_rent,1132300,2021
241200,agg_rent,712300,2021
241300,agg_rent,790700,2021
241400,agg_rent,3835800,2021
241500,agg_rent,1583600,2021
241600,agg_rent,2058500,2021
242000,agg_rent,2109000,2021
242100,agg_rent,1615000,2021
242200,agg_rent,1774600,2021
242300,agg_rent,1490100,2021
242400,agg_rent,1675300,2021
242500,agg_rent,1687200,2021
242600,agg_rent,2006000,2021
242700,agg_rent,581200,2021
242800,agg_rent,425500,2021
242900,agg_rent,588000,2021
243000,agg_rent,825600,2021
243100,agg_rent,707700,2021
243200,agg_rent,697600,2021
243300,agg_rent,1430100,2021
243400,agg_rent,1388200,2021
243500,agg_rent,2631300,2021
250200,agg_rent,268600,2021
250300,agg_rent,673100,2021
250400,agg_rent,881200,2021
250500,agg_rent,523800,2021
250600,agg_rent,237700,2021
250700,agg_rent,1412500,2021
250800,agg_rent,216300,2021
251000,agg_rent,174100,2021
251100,agg_rent,870800,2021
251200,agg_rent,426500,2021
251300,agg_rent,652900,2021
251400,agg_rent,1000900,2021
251500,agg_rent,739000,2021
251600,agg_rent,750000,2021
251700,agg_rent,216700,2021
251800,agg_rent,1075600,2021
251900,agg_rent,1249400,2021
252000,agg_rent,1603300,2021
252101,agg_rent,404000,2021
252102,agg_rent,1201300,2021
252201,agg_rent,573300,2021
252202,agg_rent,1046100,2021
260100,agg_rent,256600,2021
260200,agg_rent,231500,2021
260300,agg_rent,363200,2021
260400,agg_rent,306400,2021
260500,agg_rent,319100,2021
260600,agg_rent,397000,2021
260700,agg_rent,306300,2021
260800,agg_rent,551100,2021
260900,agg_rent,195500,2021
261000,agg_rent,458200,2021
270500,agg_rent,312400,2021
271200,agg_rent,208200,2021
271300,agg_rent,140200,2021
271400,agg_rent,300900,2021
271500,agg_rent,231400,2021
271800,agg_rent,137400,2021
280100,agg_rent,7395600,2021
280400,agg_rent,435800,2021
280800,agg_rent,189800,2021
280900,agg_rent,183900,2021
281900,agg_rent,5116800,2021
