NAME,B25060_001E,state,county,tract
Census Tract 624; Cook County; Illinois,541600,17,031,062400
Census Tract 625; Cook County; Illinois,399900,17,031,062500
Census Tract 626; Cook County; Illinois,573200,17,031,062600
Census Tract 627; Cook County; Illinois,1357600,17,031,062700
Census Tract 628; Cook County; Illinois,1646300,17,031,062800
Census Tract 629; Cook County; Illinois,1795500,17,031,062900
Census Tract 630; Cook County; Illinois,2283100,17,031,063000
Census Tract 631; Cook County; Illinois,1812500,17,031,063100
Census Tract 632; Cook County; Illinois,4980200,17,031,063200
Census Tract 633.01; Cook County; Illinois,2528800,17,031,063301
Census Tract 633.02; Cook County; Illinois,3449100,17,031,063302
Census Tract 633.03; Cook County; Illinois,1211800,17,031,063303
Census Tract 634; Cook County; Illinois,2115300,17,031,063400
Census Tract 701.01; Cook County; Illinois,2927200,17,031,070101
Census Tract 701.02; Cook County; Illinois,2016400,17,031,070102
Census Tract 701.03; Cook County; Illinois,1696600,17,031,070103
Census Tract 702; Cook County; Illinois,2583700,17,031,070200
Census Tract 703; Cook County; Illinois,2387900,17,031,070300
Census Tract 704; Cook County; Illinois,1135500,17,031,070400
Census Tract 705; Cook County; Illinois,1128800,17,031,070500
Census Tract 706; Cook County; Illinois,1494100,17,031,070600
Census Tract 707; Cook County; Illinois,1095400,17,031,070700
Census Tract 710; Cook County; Illinois,1347300,17,031,071000
Census Tract 711; Cook County; Illinois,1536400,17,031,071100
Census Tract 712; Cook County; Illinois,1090900,17,031,071200
Census Tract 713; Cook County; Illinois,1876900,17,031,071300
Census Tract 714; Cook County; Illinois,2778800,17,031,071400
Census Tract 715; Cook County; Illinois,5212700,17,031,071500
Census Tract 716; Cook County; Illinois,452400,17,031,071600
Census Tract 717; Cook County; Illinois,528900,17,031,071700
Census Tract 718; Cook County; Illinois,890100,17,031,071800
Census Tract 801; Cook County; Illinois,3907700,17,031,080100
Census Tract 802.01; Cook County; Illinois,1654500,17,031,080201
Census Tract 802.02; Cook County; Illinois,2512600,17,031,080202
Census Tract 803; Cook County; Illinois,4098100,17,031,080300
Census Tract 804; Cook County; Illinois,1460700,17,031,080400
Census Tract 810; Cook County; Illinois,7217300,17,031,081000
Census Tract 811; Cook County; Illinois,4716000,17,031,081100
Census Tract 812.01; Cook County; Illinois,3780700,17,031,081201
Census Tract 812.02; Cook County; Illinois,960400,17,031,081202
Census Tract 813; Cook County; Illinois,2479000,17,031,081300
Census Tract 814.01; Cook County; Illinois,1414100,17,031,081401
Census Tract 814.02; Cook County; Illinois,6191800,17,031,081402
Census Tract 814.03; Cook County; Illinois,12791200,17,031,081403
Census Tract 815; Cook County; Illinois,4061800,17,031,081500
Census Tract 816; Cook County; Illinois,3983700,17,031,081600
Census Tract 817; Cook County; Illinois,6477000,17,031,081700
