NAME,B25060_001E,state,county,tract
"Census Tract 6302, Cook County, Illinois",215200,17,031,630200
"Census Tract 5807, Cook County, Illinois",412200,17,031,580700
"Census Tract 5906, Cook County, Illinois",368000,17,031,590600
"Census Tract 6007, Cook County, Illinois",484700,17,031,600700
"Census Tract 6119, Cook County, Illinois",215600,17,031,611900
"Census Tract 8045.05, Cook County, Illinois",628100,17,031,804505
"Census Tract 8047.01, Cook County, Illinois",1400100,17,031,804701
"Census Tract 8047.06, Cook County, Illinois",54500,17,031,804706
"Census Tract 8240.05, Cook County, Illinois",294600,17,031,824005
"Census Tract 8240.06, Cook County, Illinois",141400,17,031,824006
"Census Tract 8241.13, Cook County, Illinois",,17,031,824113
"Census Tract 8241.14, Cook County, Illinois",287200,17,031,824114
"Census Tract 8241.15, Cook County, Illinois",334100,17,031,824115
"Census Tract 8241.16, Cook County, Illinois",1221400,17,031,824116
"Census Tract 8241.17, Cook County, Illinois",78000,17,031,824117
"Census Tract 8241.19, Cook County, Illinois",,17,031,824119
"Census Tract 8241.20, Cook County, Illinois",225800,17,031,824120
"Census Tract 8241.21, Cook County, Illinois",81800,17,031,824121
"Census Tract 8241.22, Cook County, Illinois",196000,17,031,824122
"Census Tract 8241.23, Cook County, Illinois",426300,17,031,824123
"Census Tract 8253.03, Cook County, Illinois",765900,17,031,825303
"Census Tract 8253.04, Cook County, Illinois",367500,17,031,825304
"Census Tract 8300.07, Cook County, Illinois",701500,17,031,830007
"Census Tract 8300.08, Cook County, Illinois",199300,17,031,830008
"Census Tract 8305, Cook County, Illinois",303100,17,031,830500
"Census Tract 8306, Cook County, Illinois",1425000,17,031,830600
"Census Tract 8307, Cook County, Illinois",1229700,17,031,830700
"Census Tract 8308, Cook County, Illinois",1346200,17,031,830800
"Census Tract 8309, Cook County, Illinois",1054800,17,031,830900
"Census Tract 8310, Cook County, Illinois",652400,17,031,831000
"Census Tract 8311, Cook County, Illinois",1604700,17,031,831100
"Census Tract 8119, Cook County, Illinois",208200,17,031,811900
"Census Tract 1910, Cook County, Illinois",230100,17,031,191000
"Census Tract 8056, Cook County, Illinois",63900,17,031,805600
"Census Tract 8060.04, Cook County, Illinois",960200,17,031,806004
"Census Tract 8020.02, Cook County, Illinois",168500,17,031,802002
"Census Tract 8025.04, Cook County, Illinois",331900,17,031,802504
"Census Tract 8027.02, Cook County, Illinois",230800,17,031,802702
"Census Tract 8030.08, Cook County, Illinois",213200,17,031,803008
"Census Tract 8032, Cook County, Illinois",351700,17,031,803200
"Census Tract 8035, Cook County, Illinois",804300,17,031,803500
"Census Tract 8041.02, Cook County, Illinois",87900,17,031,804102
"Census Tract 8245.05, Cook County, Illinois",724700,17,031,824505
"Census Tract 8259, Cook County, Illinois",337400,17,031,825900
"Census Tract 8260, Cook County, Illinois",390900,17,031,826000
"Census Tract 8261, Cook County, Illinois",884400,17,031,826100
"Census Tract 8263.04, Cook County, Illinois",431400,17,031,826304
"Census Tract 2423, Cook County, Illinois",1279500,17,031,242300
"Census Tract 7608.01, Cook County, Illinois",2069900,17,031,760801
"Census Tract 4903, Cook County, Illinois",248800,17,031,490300
"Census Tract 4907, Cook County, Illinois",240300,17,031,490700
"Census Tract 5001, Cook County, Illinois",573400,17,031,500100
"Census Tract 5204, Cook County, Illinois",328700,17,031,520400
"Census Tract 8209.02, Cook County, Illinois",276500,17,031,820902
"Census Tract 8210.01, Cook County, Illinois",606600,17,031,821001
"Census Tract 8210.02, Cook County, Illinois",357200,17,031,821002
"Census Tract 8222, Cook County, Illinois",172200,17,031,822200
"Census Tract 8225, Cook County, Illinois",307500,17,031,822500
"Census Tract 8228.01, Cook County, Illinois",376300,17,031,822801
"Census Tract 8232, Cook County, Illinois",201100,17,031,823200
"Census Tract 8236.03, Cook County, Illinois",183400,17,031,823603
"Census Tract 8237.05, Cook County, Illinois",491700,17,031,823705
"Census Tract 8241.07, Cook County, Illinois",294700,17,031,824107
"Census Tract 8243, Cook County, Illinois",420700,17,031,824300
"Census Tract 8255.04, Cook County, Illinois",552900,17,031,825504
"Census Tract 2222, Cook County, Illinois",912800,17,031,222200
"Census Tract 8116, Cook County, Illinois",1020000,17,031,811600
"Census Tract 8118, Cook County, Illinois",456300,17,031,811800
"Census Tract 8144, Cook County, Illinois",796100,17,031,814400
"Census Tract 8157.02, Cook County, Illinois",775400,17,031,815702
"Census Tract 8158, Cook County, Illinois",152100,17,031,815800
"Census Tract 8161, Cook County, Illinois",885000,17,031,816100
"Census Tract 8163, Cook County, Illinois",516800,17,031,816300
"Census Tract 8170, Cook County, Illinois",530800,17,031,817000
"Census Tract 8185, Cook County, Illinois",81900,17,031,818500
"Census Tract 8187, Cook County, Illinois",183800,17,031,818700
"Census Tract 2001, Cook County, Illinois",580600,17,031,200100
"Census Tract 1609, Cook County, Illinois",633400,17,031,160900
"Census Tract 1709, Cook County, Illinois",226800,17,031,170900
"Census Tract 2203, Cook County, Illinois",599700,17,031,220300
"Census Tract 6301, Cook County, Illinois",126300,17,031,630100
"Census Tract 6610, Cook County, Illinois",820300,17,031,661000
"Census Tract 6702, Cook County, Illinois",131000,17,031,670200
"Census Tract 104, Cook County, Illinois",1596300,17,031,010400
"Census Tract 3801, Cook County, Illinois",354200,17,031,380100
"Census Tract 6718, Cook County, Illinois",141400,17,031,671800
