NAME,S1501_C01_062E,state,county,tract
"Census Tract 4302, Cook County, Illinois",24452,17,031,430200
"Census Tract 4305, Cook County, Illinois",35625,17,031,430500
"Census Tract 4314, Cook County, Illinois",35772,17,031,431400
"Census Tract 4407, Cook County, Illinois",26034,17,031,440700
"Census Tract 4701, Cook County, Illinois",34286,17,031,470100
"Census Tract 8214.02, Cook County, Illinois",39352,17,031,821402
"Census Tract 8221.01, Cook County, Illinois",35852,17,031,822101
"Census Tract 8231.02, Cook County, Illinois",39479,17,031,823102
"Census Tract 8233.04, Cook County, Illinois",43030,17,031,823304
"Census Tract 8245.07, Cook County, Illinois",44343,17,031,824507
"Census Tract 8248, Cook County, Illinois",30769,17,031,824800
"Census Tract 8249, Cook County, Illinois",28689,17,031,824900
"Census Tract 8254, Cook County, Illinois",42074,17,031,825400
"Census Tract 8255.01, Cook County, Illinois",38854,17,031,825501
"Census Tract 8255.03, Cook County, Illinois",37987,17,031,825503
"Census Tract 8255.05, Cook County, Illinois",41328,17,031,825505
"Census Tract 8262.02, Cook County, Illinois",28438,17,031,826202
"Census Tract 8036.03, Cook County, Illinois",52841,17,031,803603
"Census Tract 8036.10, Cook County, Illinois",34458,17,031,803610
"Census Tract 8042.01, Cook County, Illinois",53278,17,031,804201
"Census Tract 8175, Cook County, Illinois",30047,17,031,817500
"Census Tract 8177, Cook County, Illinois",33708,17,031,817700
"Census Tract 8179, Cook County, Illinois",32357,17,031,817900
"Census Tract 8214.01, Cook County, Illinois",23438,17,031,821401
"Census Tract 8201.04, Cook County, Illinois",43125,17,031,820104
"Census Tract 8202.01, Cook County, Illinois",46058,17,031,820201
"Census Tract 8212, Cook County, Illinois",35020,17,031,821200
"Census Tract 8216, Cook County, Illinois",50092,17,031,821600
"Census Tract 8217, Cook County, Illinois",41682,17,031,821700
"Census Tract 8221.02, Cook County, Illinois",38198,17,031,822102
"Census Tract 2226, Cook County, Illinois",35938,17,031,222600
"Census Tract 2308, Cook County, Illinois",35417,17,031,230800
"Census Tract 2407, Cook County, Illinois",37321,17,031,240700
"Census Tract 2410, Cook County, Illinois",34135,17,031,241000
"Census Tract 612, Cook County, Illinois",53173,17,031,061200
"Census Tract 615, Cook County, Illinois",29022,17,031,061500
