NAME,B25060_001E,state,county,tract
"Census Tract 4302, Cook County, Illinois",1482300,17,031,430200
"Census Tract 4305, Cook County, Illinois",1080900,17,031,430500
"Census Tract 4314, Cook County, Illinois",2370900,17,031,431400
"Census Tract 4407, Cook County, Illinois",149000,17,031,440700
"Census Tract 4701, Cook County, Illinois",297900,17,031,470100
"Census Tract 8214.02, Cook County, Illinois",366400,17,031,821402
"Census Tract 8221.01, Cook County, Illinois",280700,17,031,822101
"Census Tract 8231.02, Cook County, Illinois",338400,17,031,823102
"Census Tract 8233.04, Cook County, Illinois",936300,17,031,823304
"Census Tract 8245.07, Cook County, Illinois",450800,17,031,824507
"Census Tract 8248, Cook County, Illinois",470900,17,031,824800
"Census Tract 8249, Cook County, Illinois",298300,17,031,824900
"Census Tract 8254, Cook County, Illinois",600200,17,031,825400
"Census Tract 8255.01, Cook County, Illinois",916400,17,031,825501
"Census Tract 8255.03, Cook County, Illinois",855100,17,031,825503
"Census Tract 8255.05, Cook County, Illinois",439400,17,031,825505
"Census Tract 8262.02, Cook County, Illinois",383400,17,031,826202
"Census Tract 8036.03, Cook County, Illinois",397100,17,031,803603
"Census Tract 8036.10, Cook County, Illinois",1468700,17,031,803610
"Census Tract 8042.01, Cook County, Illinois",280900,17,031,804201
"Census Tract 8175, Cook County, Illinois",469700,17,031,817500
"Census Tract 8177, Cook County, Illinois",172900,17,031,817700
"Census Tract 8179, Cook County, Illinois",807200,17,031,817900
"Census Tract 8214.01, Cook County, Illinois",568800,17,031,821401
"Census Tract 8201.04, Cook County, Illinois",443900,17,031,820104
"Census Tract 8202.01, Cook County, Illinois",462800,17,031,820201
"Census Tract 8212, Cook County, Illinois",887400,17,031,821200
"Census Tract 8216, Cook County, Illinois",394900,17,031,821600
"Census Tract 8217, Cook County, Illinois",269800,17,031,821700
"Census Tract 8221.02, Cook County, Illinois",492100,17,031,822102
"Census Tract 2226, Cook County, Illinois",516300,17,031,222600
"Census Tract 2308, Cook County, Illinois",125600,17,031,230800
"Census Tract 2407, Cook County, Illinois",446100,17,031,240700
"Census Tract 2410, Cook County, Illinois",536500,17,031,241000
"Census Tract 612, Cook County, Illinois",874200,17,031,061200
