NAME,B25060_001E,state,county,tract
"Census Tract 8236.02, Cook County, Illinois",416400,17,031,823602
"Census Tract 8236.03, Cook County, Illinois",184800,17,031,823603
"Census Tract 8236.04, Cook County, Illinois",52500,17,031,823604
"Census Tract 8236.05, Cook County, Illinois",198900,17,031,823605
"Census Tract 8237.02, Cook County, Illinois",1128200,17,031,823702
"Census Tract 8237.03, Cook County, Illinois",973900,17,031,823703
"Census Tract 8237.04, Cook County, Illinois",63900,17,031,823704
"Census Tract 8237.05, Cook County, Illinois",400600,17,031,823705
"Census Tract 8238.01, Cook County, Illinois",461600,17,031,823801
"Census Tract 8238.03, Cook County, Illinois",312400,17,031,823803
"Census Tract 8238.05, Cook County, Illinois",56400,17,031,823805
"Census Tract 8238.06, Cook County, Illinois",494600,17,031,823806
"Census Tract 8239.01, Cook County, Illinois",134800,17,031,823901
"Census Tract 8239.03, Cook County, Illinois",231000,17,031,823903
"Census Tract 8239.04, Cook County, Illinois",162700,17,031,823904
"Census Tract 8240.03, Cook County, Illinois",376800,17,031,824003
"Census Tract 8240.04, Cook County, Illinois",647100,17,031,824004
"Census Tract 8240.05, Cook County, Illinois",273100,17,031,824005
"Census Tract 8240.06, Cook County, Illinois",115500,17,031,824006
"Census Tract 8241.05, Cook County, Illinois",424700,17,031,824105
"Census Tract 8241.06, Cook County, Illinois",266400,17,031,824106
"Census Tract 8241.07, Cook County, Illinois",340800,17,031,824107
"Census Tract 8241.13, Cook County, Illinois",,17,031,824113
"Census Tract 8241.14, Cook County, Illinois",258800,17,031,824114
"Census Tract 2925, Cook County, Illinois",802700,17,031,292500
"Census Tract 3005, Cook County, Illinois",324400,17,031,300500
"Census Tract 3006, Cook County, Illinois",466300,17,031,300600
"Census Tract 3007, Cook County, Illinois",671400,17,031,300700
"Census Tract 3008, Cook County, Illinois",513800,17,031,300800
"Census Tract 3009, Cook County, Illinois",453400,17,031,300900
"Census Tract 3011, Cook County, Illinois",350700,17,031,301100
"Census Tract 3012, Cook County, Illinois",712900,17,031,301200
"Census Tract 3016, Cook County, Illinois",473200,17,031,301600
"Census Tract 3017.01, Cook County, Illinois",457500,17,031,301701
"Census Tract 3017.02, Cook County, Illinois",493000,17,031,301702
"Census Tract 3018.01, Cook County, Illinois",640300,17,031,301801
"Census Tract 3018.02, Cook County, Illinois",305900,17,031,301802
"Census Tract 3018.03, Cook County, Illinois",525000,17,031,301803
"Census Tract 3102, Cook County, Illinois",646300,17,031,310200
"Census Tract 3103, Cook County, Illinois",551400,17,031,310300
"Census Tract 3104, Cook County, Illinois",405200,17,031,310400
"Census Tract 3105, Cook County, Illinois",357500,17,031,310500
"Census Tract 3106, Cook County, Illinois",1526300,17,031,310600
"Census Tract 3107, Cook County, Illinois",405800,17,031,310700
"Census Tract 3108, Cook County, Illinois",935900,17,031,310800
"Census Tract 3109, Cook County, Illinois",926300,17,031,310900
"Census Tract 3201.01, Cook County, Illinois",6611700,17,031,320101
"Census Tract 3201.02, Cook County, Illinois",4456900,17,031,320102
"Census Tract 3204, Cook County, Illinois",609900,17,031,320400
"Census Tract 3206, Cook County, Illinois",3882800,17,031,320600
"Census Tract 3301.01, Cook County, Illinois",2366200,17,031,330101
"Census Tract 3301.02, Cook County, Illinois",4425500,17,031,330102
"Census Tract 3301.03, Cook County, Illinois",3948600,17,031,330103
"Census Tract 3302, Cook County, Illinois",748500,17,031,330200
"Census Tract 3403, Cook County, Illinois",258900,17,031,340300
"Census Tract 3404, Cook County, Illinois",322900,17,031,340400
"Census Tract 3405, Cook County, Illinois",343000,17,031,340500
"Census Tract 3406, Cook County, Illinois",152400,17,031,340600
"Census Tract 3501, Cook County, Illinois",1849900,17,031,350100
"Census Tract 3504, Cook County, Illinois",301500,17,031,350400
"Census Tract 3510, Cook County, Illinois",2593000,17,031,351000
"Census Tract 3511, Cook County, Illinois",457700,17,031,351100
"Census Tract 3514, Cook County, Illinois",558600,17,031,351400
"Census Tract 3515, Cook County, Illinois",327600,17,031,351500
"Census Tract 3602, Cook County, Illinois",406600,17,031,360200
"Census Tract 3801, Cook County, Illinois",277000,17,031,380100
"Census Tract 3802, Cook County, Illinois",613500,17,031,380200
"Census Tract 3806, Cook County, Illinois",1085200,17,031,380600
"Census Tract 3812, Cook County, Illinois",579000,17,031,381200
"Census Tract 3814, Cook County, Illinois",562600,17,031,381400
"Census Tract 8241.16, Cook County, Illinois",1241700,17,031,824116
"Census Tract 8241.19, Cook County, Illinois",126200,17,031,824119
"Census Tract 8241.21, Cook County, Illinois",135100,17,031,824121
"Census Tract 8241.22, Cook County, Illinois",101100,17,031,824122
"Census Tract 8241.23, Cook County, Illinois",375900,17,031,824123
"Census Tract 8241.24, Cook County, Illinois",386400,17,031,824124
"Census Tract 8241.25, Cook County, Illinois",78700,17,031,824125
"Census Tract 8241.26, Cook County, Illinois",,17,031,824126
